RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
18660	1	8014	8015	8215	-1	200	2	94
18660	2	8021	8021	8217	0	196	2	94
18660	3	8019	8017	8218	2	201	3	93
18660	4	8021	8020	8219	1	199	3	93
18660	5	8022	8020	8220	2	200	4	93
18660	6	8016	8015	8213	1	198	4	93
18660	7	8022	8021	8220	1	199	3	93
18660	8	8014	8014	8212	0	198	2	93
18660	9	8022	8021	8220	1	199	3	93
18660	10	8016	8015	8214	1	199	3	93
18660	11	8023	8021	8218	2	197	3	93
18660	12	8019	8016	8216	3	200	4	93
18660	13	8022	8019	8217	3	198	4	93
18660	14	8020	8020	8218	0	198	2	93
18660	15	8014	8014	8212	0	198	2	93
18660	16	8022	8021	8218	1	197	3	93
18660	17	8016	8015	8214	1	199	3	93
18660	18	8022	8021	8218	1	197	3	93
18660	19	8016	8015	8214	1	199	3	93
18660	20	8022	8021	8220	1	199	3	93
18660	21	8017	8017	8215	0	198	2	93
18660	22	8021	8020	8217	1	197	3	93
18660	23	8022	8021	8218	1	197	3	93
18660	24	8016	8016	8213	0	197	3	93
18660	25	8022	8022	8219	0	197	3	93
18660	26	8016	8016	8213	0	197	3	93
18660	27	8020	8021	8217	-1	196	2	93
18660	28	8016	8015	8212	1	197	3	93
18660	29	8022	8020	8220	2	200	4	93
18660	30	8019	8018	8216	1	198	4	93
18660	31	8020	8019	8217	1	198	4	93
18660	32	8022	8020	8218	2	198	4	93
18660	33	8014	8013	8212	1	199	3	93
18660	34	8022	8021	8218	1	197	3	93
18660	35	8016	8015	8214	1	199	3	93
18660	36	8022	8021	8220	1	199	3	93
18660	37	8017	8015	8212	2	197	3	93
18660	38	8022	8021	8219	1	198	3	93
18660	39	8019	8019	8218	0	199	3	93
18660	40	8017	8017	8213	0	196	2	93
18660	41	8022	8020	8220	2	200	4	93
18660	42	8016	8016	8213	0	197	3	93
18660	43	8022	8021	8218	1	197	3	93
18660	44	8016	8016	8213	0	197	3	93
18660	45	8022	8020	8220	2	200	4	93
18660	46	8015	8013	8210	2	197	3	93
18660	47	8022	8020	8218	2	198	4	93
18660	48	8020	8019	8218	1	199	3	93
18660	49	8020	8019	8218	1	199	3	93
18660	50	8022	8021	8218	1	197	3	93
18660	51	8016	8015	8214	1	199	3	93
18660	52	8020	8021	8217	-1	196	2	93
18660	53	8014	8014	8210	0	196	2	93
18660	54	8022	8021	8220	1	199	3	93
18660	55	8016	8015	8214	1	199	3	93
18660	56	8023	8021	8220	2	199	3	93
18660	57	8020	8018	8216	2	198	4	93
18660	58	8020	8018	8218	2	200	4	93
18660	59	8020	8020	8218	0	198	2	93
18660	60	8017	8015	8212	2	197	3	93
18660	61	8022	8020	8220	2	200	4	93
18660	62	8017	8014	8212	3	198	4	93
18660	63	8022	8020	8220	2	200	4	93
18660	64	8017	8015	8212	2	197	3	93
18660	65	8020	8020	8216	0	196	2	93
18660	66	8020	8018	8215	2	197	3	93
18660	67	8020	8019	8218	1	199	3	93
18660	68	8022	8021	8218	1	197	3	93
18660	69	8016	8015	8214	1	199	3	93
18660	70	8022	8020	8219	2	199	4	93
18660	71	8015	8014	8211	1	197	2	93
18660	72	8023	8021	8218	2	197	3	93
