RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
18900	1	1026283	1026168	1026482	115	314	8	94
18900	2	1026276	1026156	1026474	120	318	7	94
18900	3	1026270	1026153	1026471	117	318	7	94
18900	4	1026280	1026167	1026481	113	314	8	94
18900	5	1026286	1026170	1026487	116	317	8	94
18900	6	1026273	1026159	1026471	114	312	6	94
18900	7	1026274	1026157	1026473	117	316	6	94
18900	8	1026283	1026165	1026482	118	317	8	94
18900	9	1026284	1026169	1026482	115	313	7	94
18900	10	1026277	1026163	1026474	114	311	6	94
18900	11	1026274	1026162	1026475	112	313	6	94
18900	12	1026270	1026154	1026471	116	317	7	94
18900	13	1026277	1026160	1026478	117	318	8	94
18900	14	1026279	1026162	1026480	117	318	8	94
18900	15	1026273	1026159	1026473	114	314	6	94
18900	16	1026285	1026162	1026487	123	325	6	94
18900	17	1026278	1026160	1026478	118	318	8	94
18900	18	1026283	1026167	1026482	116	315	6	94
18900	19	1026288	1026174	1026487	114	313	6	94
18900	20	1026276	1026155	1026476	121	321	7	94
18900	21	1026264	1026149	1026463	115	314	6	94
18900	22	1026266	1026152	1026464	114	312	7	94
18900	23	1026271	1026149	1026470	122	321	7	94
18900	24	1026279	1026162	1026476	117	314	6	94
18900	25	1026275	1026156	1026476	119	320	8	94
18900	26	1026271	1026159	1026470	112	311	6	94
18900	27	1026266	1026150	1026465	116	315	8	94
18900	28	1026274	1026158	1026478	116	320	8	95
18900	29	1026266	1026155	1026466	111	311	6	94
18900	30	1026304	1026167	1026504	137	337	11	105
18900	31	1026269	1026155	1026468	114	313	6	94
18900	32	1026272	1026159	1026472	113	313	6	94
18900	33	1026270	1026154	1026467	116	313	6	94
18900	34	1026275	1026158	1026474	117	316	6	94
18900	35	1026270	1026152	1026470	118	318	6	94
18900	36	1026272	1026157	1026472	115	315	7	94
18900	37	1026281	1026166	1026480	115	314	6	94
18900	38	1026295	1026171	1026497	124	326	8	94
18900	39	1026279	1026166	1026479	113	313	6	94
18900	40	1026285	1026169	1026483	116	314	7	94
18900	41	1026338	1026182	1026534	156	352	15	112
18900	42	1026264	1026151	1026462	113	311	6	94
18900	43	1026275	1026162	1026474	113	312	6	94
18900	44	1026293	1026177	1026492	116	315	7	94
18900	45	1026289	1026175	1026488	114	313	7	94
18900	46	1026289	1026172	1026487	117	315	8	94
18900	47	1026287	1026176	1026486	111	310	6	94
18900	48	1026268	1026156	1026468	112	312	6	94
18900	49	1026280	1026165	1026481	115	316	7	94
18900	50	1026281	1026165	1026478	116	313	7	94
18900	51	1026284	1026169	1026485	115	316	7	94
18900	52	1026287	1026175	1026487	112	312	7	94
18900	53	1026285	1026165	1026485	120	320	7	94
18900	54	1026285	1026165	1026483	120	318	7	94
18900	55	1026270	1026157	1026469	113	312	6	94
18900	56	1026278	1026165	1026476	113	311	7	94
