"NUM"	"PRTIME"
1	1003
2	1003
3	1003
4	999
5	1001
6	1004
7	1003
8	1002
9	1003
10	1002
11	1003
12	1002
13	1003
14	1003
15	1002
16	1003
17	1003
18	1002
19	998
20	1003
21	1003
22	1003
23	1003
24	1003
25	1003
26	1003
27	1003
28	1004
29	1002
30	1003
31	1002
32	1003
33	999
34	1001
35	1003
36	1003
37	1003
38	1003
39	1002
40	1003
41	1003
42	1002
43	1004
44	1002
45	1003
46	1002
47	1002
48	999
49	1003
50	1003
51	1003
52	1003
53	1003
54	1003
55	1002
56	1003
57	1002
58	1003
59	1003
60	1003
61	1002
62	1000
63	1000
64	1003
65	1003
66	1003
67	1002
68	1003
69	1003
70	1003
71	1003
72	1003
73	1003
74	1002
75	1003
76	1003
77	999
78	1003
79	1003
80	1003
81	1003
82	1003
83	1002
84	1002
85	1003
86	1003
87	1004
88	1003
89	1002
90	1002
91	999
92	1002
93	1003
94	1003
95	1002
96	1003
97	1002
98	1003
99	1002
100	1002
101	1003
102	1004
103	1003
104	1003
105	1002
106	999
107	1003
108	1003
109	1003
110	1003
111	1003
112	1003
113	1003
114	1003
115	1002
116	1003
117	1003
118	1003
119	1003
120	998
121	1002
122	1003
123	1003
124	1004
125	1003
126	1003
127	1003
128	1003
129	1002
130	1003
131	1003
132	1002
133	1002
134	1001
135	999
136	1003
137	1003
138	1003
139	1003
140	1003
141	1002
142	1003
143	1003
144	1003
145	1003
146	1004
147	1003
148	1003
149	999
150	1001
151	1002
152	1003
153	1003
154	1003
155	1003
156	1003
157	1003
158	1003
159	1003
160	1002
161	1004
162	1003
163	1002
164	998
165	1003
166	1003
167	1002
168	1002
169	1003
170	1003
171	1003
172	1003
173	1002
174	1002
175	1003
176	1004
177	1002
178	999
179	1001
180	1003
181	1002
182	1003
183	1004
184	1003
185	1003
186	1003
187	1002
188	1003
189	1003
190	1002
191	1004
192	1002
193	999
194	1002
195	1003
196	1003
197	1003
198	1004
199	1003
200	1002
201	1002
202	1003
203	1003
204	1003
205	1002
206	1003
207	999
208	1002
209	1002
210	1003
211	1003
212	1003
213	1004
214	1003
215	1003
216	1003
217	1003
218	1003
219	1003
220	1003
221	1001
222	999
223	1003
224	1003
225	1003
226	1002
227	1003
228	1002
229	1003
230	1003
231	1002
232	1003
233	1002
234	1003
235	1004
236	999
237	1002
238	1003
239	1002
240	1003
241	1003
242	1003
243	1003
244	1003
245	1002
246	1003
247	1003
248	1003
249	1003
250	1002
251	1000
252	1003
253	1003
254	1003
255	1002
256	1002
257	1003
258	1003
259	1002
260	1003
261	1002
262	1003
263	1002
264	1003
265	999
266	1002
267	1003
268	1002
269	1003
270	1003
271	1003
272	1003
273	1003
274	1003
275	1003
276	1002
277	1002
278	1003
279	1001
280	1000
281	1002
282	1003
283	1003
284	1003
285	1002
286	1003
287	1003
288	1002
289	1002
290	1003
291	1003
292	1003
293	1002
294	1000
295	1002
296	1002
297	1003
298	1003
299	1003
300	1003
301	1002
302	1003
303	1002
304	1002
305	1003
306	1003
307	1003
308	1001
309	1001
310	1002
311	1003
312	1002
313	1003
314	1003
315	1003
316	1003
317	1002
318	1003
319	1003
320	1003
321	1003
322	1003
323	999
324	1004
325	1003
326	1003
327	1002
328	1003
329	1002
330	1003
331	1003
332	1003
333	1003
334	1003
335	1003
336	1002
337	1000
338	1000
339	1002
340	1003
341	1003
342	1002
343	1003
344	1002
345	1003
346	1004
347	1002
348	1003
349	1003
350	1003
351	1003
352	999
353	1004
354	1002
355	1003
356	1003
357	1003
358	1002
359	1003
360	1002
361	1003
362	1003
363	1003
364	1003
365	1002
366	1000
367	1000
368	1003
369	1003
370	1003
371	1003
372	1002
373	1003
374	1002
375	1003
376	1003
377	1003
378	1003
379	1003
380	1003
381	999
382	1003
383	1004
384	1002
385	1003
386	1003
387	1003
388	1002
389	1003
390	1003
391	1003
392	1002
393	1003
394	1002
395	1001
396	1000
397	1003
398	1004
399	1003
400	1003
401	1003
402	1002
403	1003
404	1003
405	1004
406	1003
407	1003
408	1002
409	1003
410	999
411	1003
412	1003
413	1003
414	1003
415	1002
416	1003
417	1002
418	1002
419	1003
420	1003
421	1003
422	1003
423	1003
424	1001
425	1001
426	1002
427	1002
428	1003
429	1003
430	1002
431	1003
432	1003
433	1003
434	1002
435	1004
436	1002
437	1002
438	1003
439	998
440	1003
441	1003
442	1003
443	1003
444	1002
445	1002
446	1003
447	1002
448	1003
449	1003
450	1003
451	1002
452	1003
453	1001
454	1000
455	1003
456	1003
457	1004
458	1003
459	1002
460	1002
461	1003
462	1003
463	1003
464	1003
465	1002
466	1002
467	1003
468	999
469	1003
470	1002
471	1002
472	1004
473	1003
474	1002
475	1003
476	1003
477	1003
478	1003
479	1003
480	1003
481	1003
482	1001
483	1001
484	1002
485	1003
486	1002
487	1003
488	1003
489	1003
490	1002
491	1003
492	1003
493	1003
494	1003
495	1003
496	1002
497	999
498	1003
499	1003
500	1003
501	1003
502	1003
503	1003
504	1003
505	1002
506	1002
507	1003
508	1003
509	1004
510	1003
511	1000
512	1001
513	1002
514	1003
515	1003
516	1003
517	1003
518	1003
519	1002
520	1003
521	1003
522	1003
523	1002
524	1004
525	1002
526	998
527	1003
528	1003
529	1003
530	1003
531	1004
532	1003
533	1002
534	1003
535	1003
536	1003
537	1003
538	1002
539	1004
540	1000
541	1001
542	1003
543	1003
544	1002
545	1003
546	1004
547	1003
548	1003
549	1003
550	1003
551	1003
552	1003
553	1002
554	1002
555	998
556	1002
557	1002
558	1003
559	1003
560	1003
561	1004
562	1002
563	1003
564	1002
565	1003
566	1003
567	1003
568	1003
569	1001
570	1000
571	1003
572	1003
573	1003
574	1003
575	1003
576	1003
577	1003
578	1003
579	1003
580	1003
581	1003
582	1003
583	1004
584	999
585	1002
586	1002
587	1003
588	1003
589	1003
590	1003
591	1002
592	1002
593	1003
594	1002
595	1002
596	1002
597	1003
598	1002
599	1000
600	1002
601	1003
602	1002
603	1003
604	1002
605	1003
606	1003
607	1003
608	1002
609	1003
610	1003
611	1002
612	1003
613	1000
614	1002
615	1002
616	1003
617	1003
618	1002
619	1003
620	1004
621	1003
622	1003
623	1003
624	1003
625	1003
626	1003
627	1001
628	1000
629	1003
630	1003
631	1003
632	1003
633	1003
634	1003
635	1004
636	1003
637	1003
638	1002
639	1002
640	1003
641	1003
642	1000
643	1002
644	1002
645	1003
646	1002
647	1003
648	1003
649	1002
650	1003
651	1002
652	1002
653	1002
654	1002
655	1003
656	1001
657	1001
658	1003
659	1003
660	1003
661	1002
662	1002
663	1003
664	1003
665	1003
666	1003
667	1003
668	1003
669	1003
670	1003
671	999
672	1003
673	1002
674	1003
675	1003
676	1003
677	1003
678	1003
679	1003
680	1003
681	1002
682	1002
683	1003
684	1003
685	1002
686	998
687	1003
688	1003
689	1003
690	1003
691	1003
692	1003
693	1003
694	1004
695	1003
696	1003
697	1003
698	1003
699	1003
700	999
701	1002
702	1003
703	1002
704	1002
705	1002
706	1002
707	1003
708	1002
709	1004
710	1003
711	1003
712	1002
713	1003
714	1002
715	999
716	1002
717	1003
718	1003
719	1003
