TASK_LEN (in s),SAMPLE_SIZE,RAW_BIN (in ms),RAW_FREQ,NOR_PT,REL_FREQ,CUM_F,CUM_RF,
1,1000,998.5,9,-1.5,0.009,,,
1,1000,999.5,35,-0.5,0.035,,,
1,1000,1000.5,26,0.5,0.026,,,
1,1000,1001.5,28,1.5,0.028,,,
1,1000,1002.5,250,2.5,0.25,,,
1,1000,1003.5,603,3.5,0.603,,,
1,1000,1004.5,49,4.5,0.049,1000,1,
2,1000,1998.5,4,-0.75,0.004,,,
2,1000,1999.5,31,-0.25,0.031,,,
2,1000,2000.5,25,0.25,0.025,,,
2,1000,2001.5,23,0.75,0.023,,,
2,1000,2002.5,22,1.25,0.022,,,
2,1000,2003.5,34,1.75,0.034,,,
2,1000,2004.5,65,2.25,0.065,,,
2,1000,2005.5,636,2.75,0.636,,,
2,1000,2006.5,153,3.25,0.153,,,
2,1000,2007.5,7,3.75,0.007,1000,1,
3,1000,3001.5,39,0.5,0.039,,,
3,1000,3002.5,56,0.8333333333,0.056,,,
3,1000,3003.5,36,1.166666667,0.036,,,
3,1000,3004.5,23,1.5,0.023,,,
3,1000,3005.5,25,1.833333333,0.025,,,
3,1000,3006.5,30,2.166666667,0.03,,,
3,1000,3007.5,384,2.5,0.384,,,
3,1000,3008.5,360,2.833333333,0.36,,,
3,1000,3009.5,47,3.166666667,0.047,1000,1,
4,1000,4003.5,38,0.875,0.038,,,
4,1000,4004.5,87,1.125,0.087,,,
4,1000,4005.5,42,1.375,0.042,,,
4,1000,4006.5,27,1.625,0.027,,,
4,1000,4007.5,33,1.875,0.033,,,
4,1000,4008.5,23,2.125,0.023,,,
4,1000,4009.5,212,2.375,0.212,,,
4,1000,4010.5,369,2.625,0.369,,,
4,1000,4011.5,167,2.875,0.167,,,
4,1000,4012.5,2,3.125,0.002,1000,1,
6,1000,6008.5,11,1.416666667,0.011,,,
6,1000,6009.5,45,1.583333333,0.045,,,
6,1000,6010.5,139,1.75,0.139,,,
6,1000,6011.5,92,1.916666667,0.092,,,
6,1000,6012.5,22,2.083333333,0.022,,,
6,1000,6013.5,27,2.25,0.027,,,
6,1000,6014.5,67,2.416666667,0.067,,,
6,1000,6015.5,167,2.583333333,0.167,,,
6,1000,6016.5,314,2.75,0.314,,,
6,1000,6017.5,115,2.916666667,0.115,,,
6,1000,6018.5,1,3.083333333,0.001,1000,1,
8,1000,8013.5,18,1.6875,0.018,,,
8,1000,8014.5,95,1.8125,0.095,,,
8,1000,8015.5,194,1.9375,0.194,,,
8,1000,8016.5,78,2.0625,0.078,,,
8,1000,8017.5,26,2.1875,0.026,,,
8,1000,8018.5,29,2.3125,0.029,,,
8,1000,8019.5,52,2.4375,0.052,,,
8,1000,8020.5,180,2.5625,0.18,,,
8,1000,8021.5,298,2.6875,0.298,,,
8,1000,8022.5,29,2.8125,0.029,999,0.999,#27 excluded
12,1000,12022.5,10,1.875,0.01,,,
12,1000,12023.5,92,1.958333333,0.092,,,
12,1000,12024.5,310,2.041666667,0.31,,,
12,1000,12025.5,140,2.125,0.14,,,
12,1000,12026.5,49,2.208333333,0.049,,,
12,1000,12027.5,21,2.291666667,0.021,,,
12,1000,12028.5,21,2.375,0.021,,,
12,1000,12029.5,71,2.458333333,0.071,,,
12,1000,12030.5,180,2.541666667,0.18,,,
12,1000,12031.5,94,2.625,0.094,,,
12,1000,12032.5,11,2.708333333,0.011,,,
12,1000,12033.5,1,2.791666667,0.001,1000,1,
16,1000,16031.5,1,1.96875,0.001,,,
16,1000,16032.5,60,2.03125,0.06,,,
16,1000,16033.5,324,2.09375,0.324,,,
16,1000,16034.5,341,2.15625,0.341,,,
16,1000,16035.5,85,2.21875,0.085,,,
16,1000,16036.5,21,2.28125,0.021,,,
16,1000,16037.5,19,2.34375,0.019,,,
16,1000,16038.5,40,2.40625,0.04,,,
16,1000,16039.5,53,2.46875,0.053,,,
16,1000,16040.5,50,2.53125,0.05,,,
16,1000,16041.5,6,2.59375,0.006,1000,1,
24,1000,24044.5,2,1.854166667,0.002,,,
24,1000,24045.5,22,1.895833333,0.022,,,
24,1000,24046.5,58,1.9375,0.058,,,
24,1000,24047.5,76,1.979166667,0.076,,,
24,1000,24048.5,53,2.020833333,0.053,,,
24,1000,24049.5,23,2.0625,0.023,,,
24,1000,24050.5,29,2.104166667,0.029,,,
24,1000,24051.5,94,2.145833333,0.094,,,
24,1000,24052.5,285,2.1875,0.285,,,
24,1000,24053.5,268,2.229166667,0.268,,,
24,1000,24054.5,86,2.270833333,0.086,,,
