RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
18600	1	256575	256545	256777	30	232	7	94
18600	2	256571	256542	256771	29	229	6	94
18600	3	256566	256537	256767	29	230	7	94
18600	4	256576	256545	256774	31	229	6	94
18600	5	256577	256548	256776	29	228	6	94
18600	6	256578	256545	256777	33	232	8	94
18600	7	256579	256550	256780	29	230	6	94
18600	8	256580	256550	256780	30	230	6	94
18600	9	256570	256543	256770	27	227	6	94
18600	10	256576	256548	256777	28	229	6	94
18600	11	256578	256548	256777	30	229	7	94
18600	12	256568	256541	256768	27	227	6	94
18600	13	256578	256546	256780	32	234	7	94
18600	14	256579	256550	256779	29	229	6	94
18600	15	256569	256540	256770	29	230	6	94
18600	16	256575	256547	256776	28	229	6	94
18600	17	256580	256550	256780	30	230	6	94
18600	18	256578	256548	256776	30	228	7	94
18600	19	256568	256540	256769	28	229	6	94
18600	20	256575	256542	256777	33	235	7	94
18600	21	256591	256559	256791	32	232	7	94
18600	22	256573	256544	256772	29	228	6	94
18600	23	256569	256538	256771	31	233	6	94
18600	24	256571	256538	256769	33	231	6	94
18600	25	256575	256546	256777	29	231	7	94
18600	26	256574	256544	256773	30	229	6	94
18600	27	256571	256540	256770	31	230	6	94
18600	28	256571	256540	256771	31	231	6	94
18600	29	256575	256545	256775	30	230	6	94
18600	30	256571	256542	256771	29	229	6	94
18600	31	256572	256542	256772	30	230	6	94
18600	32	256570	256543	256769	27	226	6	94
18600	33	256571	256542	256772	29	230	6	94
18600	34	256572	256544	256772	28	228	6	94
18600	35	256582	256552	256784	30	232	8	94
18600	36	256573	256543	256774	30	231	6	94
18600	37	256574	256545	256775	29	230	6	94
18600	38	256565	256539	256765	26	226	7	94
18600	39	256573	256545	256773	28	228	6	94
18600	40	256580	256549	256780	31	231	7	94
18600	41	256567	256538	256765	29	227	7	94
18600	42	256572	256545	256773	27	228	6	94
18600	43	256579	256550	256779	29	229	6	94
18600	44	256575	256545	256774	30	229	6	94
18600	45	256573	256545	256774	28	229	6	94
18600	46	256582	256550	256782	32	232	8	94
18600	47	256574	256545	256776	29	231	8	94
18600	48	256579	256549	256781	30	232	7	94
18600	49	256574	256544	256774	30	230	6	94
18600	50	256574	256544	256775	30	231	6	94
18600	51	256577	256547	256779	30	232	6	94
18600	52	256567	256539	256768	28	229	7	94
18600	53	256579	256548	256780	31	232	8	94
18600	54	256567	256537	256766	30	229	6	94
18600	55	256571	256543	256771	28	228	6	94
18600	56	256572	256544	256771	28	227	6	94
18600	57	256574	256544	256775	30	231	8	94
18600	58	256572	256545	256772	27	227	6	94
18600	59	256567	256538	256766	29	228	6	94
18600	60	256578	256546	256777	32	231	7	94
18600	61	256571	256541	256771	30	230	7	94
18600	62	256572	256543	256772	29	229	6	94
