ITERNUM	U_TIME	S_TIME	PRTIME	METIME
1	32066	0	32066	32070
2	32064	2	32066	32071
3	32072	0	32072	32075
4	32064	1	32065	32070
5	32064	2	32066	32070
6	32073	0	32073	32078
7	32065	1	32066	32069
8	32072	0	32072	32075
9	32064	0	32064	32069
10	32067	0	32067	32071
11	32072	1	32073	32075
12	32066	0	32066	32070
13	32064	0	32064	32068
14	32072	1	32073	32077
15	32065	1	32066	32069
16	32071	1	32072	32076
17	32064	2	32066	32070
18	32065	2	32067	32069
19	32069	2	32071	32075
20	32066	1	32067	32069
21	32064	2	32066	32069
22	32071	2	32073	32076
23	32064	2	32066	32070
24	32066	0	32066	32069
25	32072	0	32072	32076
26	32063	3	32066	32070
27	32071	1	32072	32075
28	32066	1	32067	32070
29	32065	0	32065	32070
30	32071	1	32072	32076
31	32066	0	32066	32069
32	32064	1	32065	32069
33	32071	0	32071	32075
34	32065	0	32065	32070
35	32067	1	32068	32072
36	32070	2	32072	32075
37	32063	2	32065	32070
38	32071	0	32071	32075
39	32068	2	32070	32073
40	32066	0	32066	32070
41	32070	2	32072	32075
42	32065	1	32066	32069
43	32067	0	32067	32071
44	32070	0	32070	32075
45	32065	0	32065	32070
46	32064	2	32066	32069
47	32072	2	32074	32077
48	32065	0	32065	32070
49	32069	0	32069	32072
50	32071	0	32071	32074
51	32066	0	32066	32072
52	32071	0	32071	32075
53	32064	2	32066	32070
54	32064	1	32065	32069
55	32071	1	32072	32077
56	32065	1	32066	32069
57	32063	3	32066	32069
58	32071	1	32072	32076
59	32066	0	32066	32071
60	32066	1	32067	32069
61	32071	0	32071	32076
62	32066	1	32067	32069
63	32070	2	32072	32078
64	32065	2	32067	32071
65	32068	1	32069	32072
66	32069	3	32072	32076
67	32068	1	32069	32072
68	32064	2	32066	32069
69	32072	0	32072	32076
70	32064	1	32065	32069
71	32067	0	32067	32071
72	32072	0	32072	32076
73	32066	0	32066	32069
74	32066	2	32068	32072
75	32069	3	32072	32077
76	32066	0	32066	32069
77	32071	1	32072	32076
78	32064	2	32066	32070
79	32067	1	32068	32071
80	32072	1	32073	32075
81	32066	0	32066	32069
82	32065	0	32065	32070
83	32071	1	32072	32077
84	32068	0	32068	32071
85	32066	0	32066	32070
86	32070	1	32071	32075
87	32067	2	32069	32072
88	32067	0	32067	32069
89	32071	0	32071	32075
90	32066	2	32068	32072
91	32066	0	32066	32069
92	32070	0	32070	32073
93	32073	0	32073	32076
94	32064	1	32065	32069
95	32069	1	32070	32072
96	32072	0	32072	32076
97	32065	1	32066	32070
98	32067	1	32068	32072
99	32070	2	32072	32075
100	32067	0	32067	32072
101	32067	0	32067	32072
102	32071	1	32072	32076
103	32065	1	32066	32070
104	32069	0	32069	32072
105	32070	1	32071	32075
106	32066	1	32067	32069
107	32065	2	32067	32071
108	32072	1	32073	32077
109	32065	1	32066	32070
110	32067	0	32067	32071
111	32073	0	32073	32076
112	32067	0	32067	32072
113	32066	1	32067	32071
114	32070	3	32073	32076
115	32064	2	32066	32070
116	32069	0	32069	32072
117	32073	0	32073	32075
118	32065	1	32066	32070
119	32066	0	32066	32071
120	32072	2	32074	32078
121	32063	2	32065	32070
122	32067	0	32067	32070
123	32072	0	32072	32075
124	32067	0	32067	32071
125	32067	1	32068	32072
126	32072	0	32072	32075
127	32066	0	32066	32070
128	32068	1	32069	32073
129	32071	0	32071	32075
130	32066	0	32066	32070
131	32069	0	32069	32072
132	32071	1	32072	32077
133	32065	1	32066	32070
134	32069	1	32070	32073
135	32069	2	32071	32074
136	32068	0	32068	32071
137	32070	0	32070	32073
138	32069	0	32069	32073
139	32065	0	32065	32070
140	32072	0	32072	32076
141	32068	2	32070	32072
142	32065	1	32066	32069
143	32067	0	32067	32070
144	32072	1	32073	32077
145	32066	0	32066	32070
146	32066	1	32067	32069
147	32072	1	32073	32076
148	32065	2	32067	32072
149	32067	0	32067	32070
150	32071	1	32072	32075
151	32066	1	32067	32069
152	32066	0	32066	32070
153	32072	1	32073	32075
154	32066	1	32067	32070
155	32066	0	32066	32070
156	32070	2	32072	32076
157	32065	1	32066	32070
158	32067	0	32067	32069
159	32070	1	32071	32074
160	32069	0	32069	32073
161	32065	2	32067	32072
162	32068	0	32068	32071
163	32071	1	32072	32076
164	32065	2	32067	32069
165	32067	1	32068	32071
166	32072	1	32073	32075
167	32064	2	32066	32069
168	32066	1	32067	32070
169	32072	0	32072	32077
170	32066	0	32066	32070
171	32065	1	32066	32070
172	32073	0	32073	32075
173	32067	0	32067	32071
174	32065	1	32066	32070
175	32072	1	32073	32076
176	32067	1	32068	32070
177	32066	2	32068	32072
178	32068	1	32069	32072
179	32071	1	32072	32076
180	32065	2	32067	32069
181	32066	1	32067	32071
182	32071	1	32072	32076
183	32066	0	32066	32069
184	32063	3	32066	32070
185	32070	1	32071	32074
186	32069	2	32071	32074
187	32065	1	32066	32070
188	32066	1	32067	32070
189	32072	0	32072	32078
190	32064	3	32067	32069
191	32066	0	32066	32070
192	32071	1	32072	32076
193	32066	1	32067	32072
194	32066	0	32066	32069
195	32069	1	32070	32074
196	32068	2	32070	32073
197	32064	1	32065	32072
198	32065	1	32066	32069
199	32072	0	32072	32076
200	32063	2	32065	32070
201	32064	2	32066	32072
202	32071	2	32073	32075
203	32065	1	32066	32070
204	32066	1	32067	32070
205	32069	1	32070	32075
206	32068	2	32070	32074
207	32065	0	32065	32070
208	32065	0	32065	32070
209	32072	1	32073	32078
210	32067	0	32067	32070
211	32066	0	32066	32069
212	32067	1	32068	32070
213	32072	0	32072	32076
214	32064	2	32066	32070
215	32067	0	32067	32070
216	32071	2	32073	32075
217	32065	1	32066	32070
218	32066	0	32066	32070
219	32067	0	32067	32070
220	32072	0	32072	32076
221	32067	0	32067	32070
222	32065	1	32066	32072
223	32068	3	32071	32076
224	32065	1	32066	32069
225	32066	0	32066	32070
226	32069	0	32069	32073
227	32072	0	32072	32076
228	32066	0	32066	32069
229	32066	1	32067	32069
230	32073	1	32074	32077
231	32067	1	32068	32070
232	32065	1	32066	32070
233	32069	0	32069	32074
234	32072	0	32072	32076
235	32066	0	32066	32070
236	32066	1	32067	32069
237	32070	1	32071	32076
238	32065	1	32066	32072
239	32064	2	32066	32070
240	32071	1	32072	32076
241	32064	1	32065	32070
242	32065	1	32066	32072
243	32066	1	32067	32070
244	32073	0	32073	32075
245	32065	0	32065	32070
246	32068	0	32068	32071
247	32071	0	32071	32076
248	32065	2	32067	32070
249	32066	1	32067	32070
250	32072	1	32073	32077
251	32068	0	32068	32071
252	32066	0	32066	32069
253	32065	2	32067	32070
254	32073	0	32073	32078
255	32067	0	32067	32069
256	32064	1	32065	32070
257	32069	3	32072	32076
258	32068	0	32068	32071
259	32067	0	32067	32070
260	32070	2	32072	32076
261	32066	2	32068	32070
262	32067	0	32067	32071
263	32065	1	32066	32069
264	32069	2	32071	32076
265	32064	1	32065	32070
266	32066	1	32067	32071
267	32072	1	32073	32076
268	32064	0	32064	32070
269	32065	0	32065	32070
270	32066	1	32067	32072
271	32072	1	32073	32076
272	32065	1	32066	32070
273	32065	2	32067	32070
274	32065	2	32067	32071
275	32072	0	32072	32075
276	32068	1	32069	32072
277	32066	1	32067	32070
278	32066	0	32066	32072
279	32069	0	32069	32073
280	32067	3	32070	32075
281	32064	1	32065	32070
282	32067	1	32068	32071
283	32066	1	32067	32071
284	32071	1	32072	32076
285	32067	0	32067	32070
286	32065	2	32067	32070
287	32065	4	32069	32073
288	32072	0	32072	32076
289	32068	2	32070	32074
290	32065	1	32066	32070
291	32065	0	32065	32070
292	32070	2	32072	32075
293	32066	1	32067	32070
294	32064	1	32065	32070
295	32065	1	32066	32070
296	32072	0	32072	32075
297	32067	0	32067	32070
298	32065	1	32066	32070
299	32065	2	32067	32072
300	32071	2	32073	32076
301	32065	0	32065	32070
302	32067	0	32067	32070
303	32068	0	32068	32072
304	32072	0	32072	32075
305	32065	0	32065	32070
306	32065	2	32067	32070
307	32067	1	32068	32072
308	32071	1	32072	32076
309	32066	1	32067	32070
310	32066	1	32067	32070
311	32066	1	32067	32072
312	32072	1	32073	32076
313	32066	0	32066	32069
314	32064	1	32065	32070
315	32068	0	32068	32074
316	32070	2	32072	32075
317	32066	0	32066	32071
318	32065	1	32066	32070
319	32071	1	32072	32076
320	32066	2	32068	32073
321	32065	1	32066	32070
322	32064	2	32066	32070
323	32073	1	32074	32078
324	32066	1	32067	32070
325	32065	0	32065	32070
326	32066	0	32066	32070
327	32072	0	32072	32078
328	32066	1	32067	32070
329	32065	2	32067	32070
330	32065	1	32066	32070
331	32074	0	32074	32077
332	32065	1	32066	32070
333	32065	1	32066	32069
334	32065	1	32066	32070
335	32072	1	32073	32077
336	32065	1	32066	32070
337	32066	1	32067	32070
338	32065	2	32067	32069
339	32073	1	32074	32077
340	32066	0	32066	32070
341	32065	2	32067	32070
342	32064	2	32066	32070
343	32072	1	32073	32078
344	32066	1	32067	32070
345	32067	0	32067	32070
346	32067	0	32067	32070
347	32073	0	32073	32078
348	32066	1	32067	32069
349	32065	2	32067	32070
350	32064	1	32065	32070
351	32072	1	32073	32077
352	32065	0	32065	32070
353	32065	2	32067	32070
354	32066	0	32066	32070
355	32070	3	32073	32078
356	32066	0	32066	32070
357	32065	2	32067	32070
358	32067	0	32067	32070
359	32072	1	32073	32078
360	32065	1	32066	32070
361	32065	0	32065	32070
362	32064	3	32067	32070
363	32071	1	32072	32076
364	32067	0	32067	32069
365	32064	2	32066	32070
366	32067	0	32067	32069
367	32072	0	32072	32076
368	32064	2	32066	32069
369	32065	2	32067	32071
370	32065	0	32065	32070
371	32073	0	32073	32076
372	32066	1	32067	32070
373	32065	2	32067	32069
374	32071	1	32072	32074
375	32067	2	32069	32073
376	32063	4	32067	32071
377	32064	3	32067	32069
378	32070	1	32071	32075
379	32067	0	32067	32069
380	32067	1	32068	32072
381	32066	1	32067	32070
382	32071	0	32071	32076
383	32067	0	32067	32070
384	32066	2	32068	32071
385	32064	2	32066	32070
386	32073	0	32073	32076
387	32066	0	32066	32070
388	32066	1	32067	32072
389	32068	1	32069	32072
390	32072	1	32073	32075
391	32067	0	32067	32071
392	32065	1	32066	32072
393	32072	0	32072	32076
394	32066	0	32066	32069
395	32066	1	32067	32070
396	32066	0	32066	32072
397	32072	1	32073	32076
398	32066	0	32066	32070
399	32067	0	32067	32070
400	32068	3	32071	32075
401	32072	1	32073	32076
402	32064	1	32065	32070
403	32066	0	32066	32069
404	32072	1	32073	32077
405	32068	1	32069	32072
406	32066	1	32067	32070
407	32064	1	32065	32070
408	32073	0	32073	32078
409	32065	2	32067	32070
410	32066	0	32066	32069
411	32067	0	32067	32069
412	32072	1	32073	32078
413	32067	0	32067	32070
414	32065	2	32067	32070
415	32070	1	32071	32076
416	32069	0	32069	32073
417	32066	1	32067	32070
418	32065	1	32066	32070
419	32073	0	32073	32075
420	32067	0	32067	32071
421	32065	2	32067	32069
422	32066	0	32066	32071
423	32071	1	32072	32076
424	32067	0	32067	32072
425	32065	1	32066	32069
426	32072	1	32073	32076
427	32067	1	32068	32070
428	32067	0	32067	32072
429	32064	3	32067	32070
430	32070	2	32072	32076
431	32065	1	32066	32072
432	32066	1	32067	32072
433	32072	4	32076	32101
434	32072	1	32073	32075
435	32063	3	32066	32070
436	32067	0	32067	32072
437	32066	1	32067	32070
438	32071	0	32071	32075
439	32067	0	32067	32070
440	32065	2	32067	32070
441	32067	1	32068	32072
442	32072	0	32072	32076
443	32066	1	32067	32070
444	32064	1	32065	32070
445	32070	3	32073	32076
446	32067	0	32067	32071
447	32066	1	32067	32070
448	32064	0	32064	32070
449	32071	2	32073	32076
450	32066	0	32066	32070
451	32067	0	32067	32069
452	32067	0	32067	32070
453	32075	2	32077	32080
454	32065	1	32066	32069
455	32067	0	32067	32070
456	32067	1	32068	32071
457	32071	1	32072	32078
458	32065	2	32067	32069
459	32066	1	32067	32070
460	32072	0	32072	32076
461	32066	1	32067	32072
462	32066	0	32066	32070
463	32067	0	32067	32069
464	32070	2	32072	32076
465	32067	0	32067	32072
466	32064	1	32065	32070
467	32070	1	32071	32074
468	32068	1	32069	32073
469	32068	0	32068	32072
470	32066	1	32067	32070
471	32072	1	32073	32075
472	32066	0	32066	32070
473	32067	1	32068	32071
474	32066	1	32067	32071
475	32071	1	32072	32075
476	32066	1	32067	32070
477	32066	1	32067	32072
478	32073	0	32073	32075
479	32065	1	32066	32069
480	32066	0	32066	32069
481	32067	0	32067	32072
482	32070	2	32072	32075
483	32065	1	32066	32071
484	32066	0	32066	32069
485	32068	5	32073	32078
486	32066	1	32067	32071
487	32066	1	32067	32070
488	32066	0	32066	32070
489	32073	1	32074	32078
490	32064	2	32066	32070
491	32065	2	32067	32070
492	32067	2	32069	32072
493	32072	0	32072	32077
494	32065	0	32065	32070
495	32065	1	32066	32069
496	32071	1	32072	32076
497	32067	1	32068	32072
498	32065	1	32066	32070
499	32066	0	32066	32071
500	32070	2	32072	32076
501	32067	1	32068	32072
502	32066	0	32066	32070
503	32071	2	32073	32075
504	32065	1	32066	32069
505	32065	1	32066	32072
506	32066	1	32067	32069
507	32070	1	32071	32076
508	32066	0	32066	32070
509	32066	2	32068	32072
510	32071	1	32072	32076
511	32068	3	32071	32074
512	32066	0	32066	32070
513	32067	1	32068	32071
514	32071	2	32073	32075
515	32064	1	32065	32070
