ITERNUM	U_TIME	S_TIME	PRTIME	METIME
1	128271	4	128275	128290
2	128268	3	128271	128284
3	128268	3	128271	128285
4	128267	1	128268	128282
5	128275	1	128276	128289
6	128265	5	128270	128285
7	128268	3	128271	128286
8	128267	3	128270	128287
9	128274	3	128277	128292
10	128272	3	128275	128290
11	128269	2	128271	128284
12	128271	4	128275	128288
13	128269	2	128271	128286
14	128265	6	128271	128285
15	128266	2	128268	128284
16	128271	5	128276	128291
17	128270	3	128273	128288
18	128262	8	128270	128286
19	128267	2	128269	128283
20	128272	4	128276	128292
21	128268	3	128271	128285
22	128264	7	128271	128284
23	128273	2	128275	128290
24	128272	9	128281	128294
25	128271	1	128272	128285
26	128266	13	128279	128317
27	128275	2	128277	128291
28	128268	2	128270	128284
29	128266	3	128269	128284
30	128267	2	128269	128285
31	128274	2	128276	128292
32	128265	4	128269	128285
33	128268	1	128269	128282
34	128270	4	128274	128288
35	128270	1	128271	128286
36	128267	4	128271	128285
37	128267	3	128270	128286
38	128272	6	128278	128292
39	128270	0	128270	128284
40	128267	2	128269	128285
41	128269	2	128271	128284
42	128275	2	128277	128291
43	128268	4	128272	128286
44	128270	2	128272	128285
45	128272	6	128278	128297
46	128269	0	128269	128285
47	128267	1	128268	128284
48	128270	1	128271	128287
49	128274	0	128274	128289
50	128268	2	128270	128284
51	128265	3	128268	128283
52	128263	6	128269	128288
53	128275	2	128277	128290
54	128262	6	128268	128283
55	128269	1	128270	128285
56	128269	1	128270	128284
57	128274	1	128275	128290
58	128266	3	128269	128284
59	128264	8	128272	128289
60	128274	2	128276	128292
61	128268	2	128270	128286
62	128265	5	128270	128284
63	128266	5	128271	128284
64	128276	3	128279	128292
65	128262	5	128267	128283
66	128267	5	128272	128288
67	128263	7	128270	128285
68	128278	1	128279	128295
69	128267	3	128270	128285
70	128266	3	128269	128282
71	128267	3	128270	128284
72	128274	2	128276	128292
73	128268	7	128275	128291
74	128262	8	128270	128284
75	128265	5	128270	128288
76	128269	6	128275	128288
77	128268	3	128271	128285
78	128263	2	128265	128282
79	128273	0	128273	128290
80	128267	6	128273	128289
81	128266	6	128272	128286
82	128267	4	128271	128285
83	128272	3	128275	128290
84	128267	4	128271	128285
85	128265	4	128269	128282
86	128267	4	128271	128285
87	128274	6	128280	128294
88	128266	3	128269	128284
89	128268	2	128270	128285
90	128273	2	128275	128290
91	128267	3	128270	128286
92	128266	4	128270	128284
93	128264	3	128267	128281
94	128274	5	128279	128294
95	128266	4	128270	128286
96	128267	2	128269	128284
97	128267	2	128269	128287
98	128276	1	128277	128292
99	128269	6	128275	128289
100	128265	4	128269	128282
101	128263	9	128272	128287
102	128276	1	128277	128292
103	128273	2	128275	128288
104	128266	5	128271	128284
105	128263	6	128269	128283
106	128275	0	128275	128290
107	128266	4	128270	128284
108	128268	4	128272	128286
109	128264	7	128271	128287
110	128274	1	128275	128289
111	128270	9	128279	128343
112	128266	3	128269	128284
113	128275	2	128277	128292
114	128264	6	128270	128286
115	128266	5	128271	128284
116	128266	6	128272	128286
117	128272	2	128274	128290
118	128269	1	128270	128286
119	128267	2	128269	128284
120	128262	6	128268	128284
121	128272	3	128275	128290
122	128270	3	128273	128288
123	128269	1	128270	128284
124	128272	5	128277	128291
125	128270	3	128273	128288
126	128264	4	128268	128283
127	128270	0	128270	128286
128	128274	2	128276	128291
129	128270	5	128275	128289
130	128262	5	128267	128284
131	128267	2	128269	128284
132	128272	3	128275	128291
133	128266	2	128268	128283
134	128264	6	128270	128285
135	128274	1	128275	128291
136	128268	0	128268	128285
137	128267	1	128268	128281
138	128270	0	128270	128284
139	128271	6	128277	128291
140	128265	5	128270	128283
141	128266	4	128270	128286
142	128273	1	128274	128291
143	128267	5	128272	128287
144	128265	4	128269	128282
145	128268	3	128271	128285
146	128273	3	128276	128291
147	128267	2	128269	128284
148	128264	6	128270	128286
149	128272	2	128274	128290
150	128268	6	128274	128289
151	128266	3	128269	128282
152	128267	4	128271	128286
153	128275	1	128276	128291
154	128266	3	128269	128283
155	128267	1	128268	128285
156	128276	2	128278	128292
157	128266	5	128271	128286
158	128266	2	128268	128283
159	128264	5	128269	128283
160	128274	1	128275	128290
161	128268	1	128269	128284
162	128265	5	128270	128284
163	128275	3	128278	128291
164	128268	1	128269	128284
165	128267	3	128270	128286
166	128266	2	128268	128284
167	128272	3	128275	128289
168	128269	0	128269	128284
169	128265	4	128269	128284
170	128272	4	128276	128291
171	128269	5	128274	128288
172	128265	5	128270	128283
173	128273	1	128274	128288
174	128266	3	128269	128282
175	128267	4	128271	128286
176	128268	4	128272	128287
177	128270	5	128275	128291
178	128271	3	128274	128290
179	128265	4	128269	128285
180	128273	2	128275	128292
181	128264	5	128269	128281
182	128267	3	128270	128285
183	128274	3	128277	128293
184	128267	5	128272	128286
185	128270	4	128274	128291
186	128271	0	128271	128285
187	128274	1	128275	128290
188	128266	3	128269	128283
189	128270	1	128271	128286
190	128271	4	128275	128289
191	128268	3	128271	128286
192	128269	6	128275	128288
193	128273	4	128277	128292
194	128265	4	128269	128285
195	128264	4	128268	128283
196	128265	4	128269	128281
197	128267	4	128271	128289
198	128268	0	128268	128284
199	128264	8	128272	128287
200	128273	3	128276	128291
201	128266	3	128269	128285
202	128266	3	128269	128285
203	128270	1	128271	128285
204	128273	4	128277	128290
205	128268	1	128269	128286
206	128269	3	128272	128286
207	128275	2	128277	128291
208	128268	2	128270	128284
209	128266	3	128269	128283
210	128275	0	128275	128289
211	128270	2	128272	128285
212	128269	1	128270	128284
213	128270	0	128270	128287
214	128272	5	128277	128291
215	128265	4	128269	128283
216	128265	5	128270	128285
217	128270	3	128273	128289
218	128265	3	128268	128282
219	128269	1	128270	128285
220	128273	2	128275	128291
221	128268	2	128270	128283
222	128267	4	128271	128285
223	128272	4	128276	128291
224	128268	0	128268	128284
225	128263	4	128267	128281
226	128275	0	128275	128291
227	128267	6	128273	128288
228	128270	2	128272	128285
229	128273	1	128274	128289
230	128266	2	128268	128283
231	128263	5	128268	128283
232	128273	1	128274	128287
233	128264	5	128269	128285
234	128270	5	128275	128288
235	128273	2	128275	128290
236	128267	3	128270	128286
237	128263	6	128269	128286
238	128273	5	128278	128292
239	128270	1	128271	128283
240	128264	5	128269	128284
241	128270	3	128273	128289
242	128270	5	128275	128288
243	128265	4	128269	128284
244	128269	2	128271	128285
245	128269	5	128274	128289
246	128265	4	128269	128283
247	128266	5	128271	128286
248	128276	2	128278	128292
249	128267	2	128269	128283
