ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19080	1	128266	2	128268	193	21	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	2	128264	3	128267	193	23	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	3	128273	3	128276	193	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	4	128265	3	128268	197	19	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19080	5	128262	5	128267	195	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	6	128270	4	128274	193	24	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	7	128263	4	128267	199	15	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	8	128273	2	128275	196	18	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	9	128262	5	128267	193	25	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	10	128267	2	128269	193	23	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	11	128272	3	128275	195	20	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	12	128265	5	128270	195	18	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	13	128268	2	128270	193	21	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	14	128270	5	128275	191	22	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	15	128269	3	128272	189	24	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	16	128272	4	128276	195	19	1122	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	17	128266	5	128271	195	22	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19080	18	128269	1	128270	193	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	32768	0	0
19080	19	128270	4	128274	195	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	20	128267	3	128270	193	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	21	128270	0	128270	195	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	22	128270	4	128274	191	25	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	23	128268	5	128273	193	20	1120	0	0	0	0	0	0	0	0	0	0	0	11480	23	53248	7	0
19080	24	128265	4	128269	192	25	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19080	25	128275	0	128275	198	18	1123	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	26	128266	3	128269	199	16	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	27	128269	5	128274	197	15	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	28	128273	1	128274	195	18	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	29	128267	2	128269	193	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	30	128273	2	128275	191	21	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	31	128268	1	128269	193	23	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
