RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
18880	1	16416420	16416361	16416621	58	260	12	107
18880	2	16416430	16416360	16416631	69	271	16	114
18880	3	16416361	16416336	16416560	24	224	8	96
18880	4	16416329	16416306	16416531	22	225	6	96
18880	5	16416400	16416375	16416602	24	227	7	96
18880	6	16416413	16416362	16416614	50	252	10	107
18880	7	16416439	16416360	16416638	78	278	13	114
18880	8	16416324	16416297	16416527	26	230	7	96
18880	9	16416350	16416326	16416556	23	230	8	96
18880	10	16416317	16416287	16416516	29	229	8	96
18880	11	16416431	16416410	16416634	20	224	6	96
18880	12	16416402	16416306	16416601	95	295	18	125
18880	13	16416320	16416291	16416523	28	232	6	96
18880	14	16416335	16416306	16416535	28	229	7	96
18880	15	16416382	16416347	16416583	34	236	7	96
18880	16	16416348	16416319	16416550	28	231	8	96
18880	17	16416413	16416354	16416615	58	261	11	107
18880	18	16416436	16416361	16416634	74	273	17	114
18880	19	16416407	16416383	16416609	23	226	7	96
18880	20	16416314	16416279	16416514	34	235	7	96
18880	21	16416349	16416319	16416551	29	232	7	96
18880	22	16416440	16416388	16416636	51	248	10	107
18880	23	16416377	16416301	16416580	75	279	15	114
18880	24	16416392	16416363	16416595	28	232	6	96
18880	25	16416391	16416361	16416593	29	232	7	96
18880	26	16416384	16416358	16416587	25	229	7	96
18880	27	16416420	16416363	16416618	56	255	11	107
18880	28	16416387	16416314	16416590	72	276	16	114
18880	29	16416424	16416392	16416629	31	237	7	96
18880	30	16416399	16416371	16416596	27	225	7	96
18880	31	16416300	16416271	16416498	28	227	8	96
18880	32	16416377	16416343	16416577	33	234	8	96
18880	33	16416444	16416348	16416641	95	293	19	125
18880	34	16416396	16416369	16416598	26	229	7	96
18880	35	16416311	16416291	16416514	19	223	6	96
18880	36	16416422	16416389	16416624	32	235	8	96
18880	37	16416345	16416314	16416544	30	230	9	96
18880	38	16416442	16416395	16416644	46	249	12	107
18880	39	16416428	16416346	16416628	81	282	15	114
18880	40	16416353	16416317	16416549	35	232	8	96
18880	41	16416428	16416387	16416629	40	242	7	96
18880	42	16416405	16416376	16416607	28	231	8	96
18880	43	16416456	16416396	16416656	59	260	13	107
18880	44	16416416	16416342	16416613	73	271	17	114
18880	45	16416388	16416357	16416590	30	233	8	96
18880	46	16416335	16416306	16416537	28	231	9	96
18880	47	16416404	16416372	16416606	31	234	8	96
18880	48	16416440	16416385	16416642	54	257	10	107
18880	49	16416455	16416381	16416655	73	274	15	114
18880	50	16416330	16416294	16416532	35	238	8	96
18880	51	16416361	16416321	16416561	39	240	9	96
18880	52	16416365	16416342	16416569	22	227	8	96
18880	53	16416399	16416369	16416600	29	231	7	96
18880	54	16416446	16416352	16416646	93	294	19	125
18880	55	16416395	16416357	16416597	37	240	7	96
18880	56	16416317	16416280	16416521	36	241	8	96
18880	57	16416422	16416390	16416624	31	234	7	96
18880	58	16416360	16416324	16416560	35	236	9	96
18880	59	16416439	16416381	16416638	57	257	12	107
18880	60	16416422	16416347	16416623	74	276	15	114
18880	61	16416309	16416271	16416511	37	240	8	96
18880	62	16416401	16416356	16416601	44	245	8	96
18880	63	16416433	16416349	16416634	83	285	8	96
18880	64	16416451	16416393	16416649	57	256	11	107
18880	65	16416462	16416380	16416661	81	281	18	114
18880	66	16416395	16416346	16416593	48	247	7	96
18880	67	16416393	16416356	16416596	36	240	8	96
18880	68	16416419	16416384	16416617	34	233	8	96
18880	69	16416437	16416391	16416637	45	246	13	107
18880	70	16416437	16416365	16416639	71	274	15	114
18880	71	16416355	16416320	16416559	34	239	9	96
18880	72	16416336	16416300	16416539	35	239	8	96
18880	73	16416400	16416361	16416602	38	241	8	96
18880	74	16416387	16416356	16416590	30	234	8	96
18880	75	16416485	16416399	16416686	85	287	17	125
18880	76	16416401	16416369	16416601	31	232	8	96
18880	77	16416394	16416362	16416594	31	232	8	96
18880	78	16416392	16416362	16416594	29	232	8	96
18880	79	16416355	16416318	16416558	36	240	8	96
18880	80	16416390	16416338	16416588	51	250	11	107
18880	81	16416440	16416356	16416643	83	287	17	114
18880	82	16416373	16416342	16416576	30	234	8	96
18880	83	16416404	16416373	16416602	30	229	7	96
18880	84	16416339	16416300	16416541	38	241	7	96
18880	85	16416419	16416356	16416621	62	265	12	107
18880	86	16416440	16416372	16416643	67	271	15	114
18880	87	16416310	16416278	16416510	31	232	8	96
18880	88	16416367	16416337	16416570	29	233	8	96
18880	89	16416354	16416320	16416553	33	233	7	96
18880	90	16416343	16416316	16416542	26	226	7	96
18880	91	16416503	16416398	16416701	104	303	18	125
18880	92	16416343	16416312	16416544	30	232	8	96
18880	93	16416380	16416341	16416576	38	235	8	96
18880	94	16416374	16416343	16416576	30	233	8	96
18880	95	16416346	16416315	16416547	30	232	7	96
18880	96	16416448	16416340	16416641	107	301	17	125
18880	97	16416390	16416361	16416592	28	231	8	96
18880	98	16416344	16416309	16416546	34	237	8	96
18880	99	16416397	16416361	16416599	35	238	8	96
18880	100	16416310	16416271	16416505	38	234	8	96
18880	101	16416403	16416345	16416604	57	259	10	107
18880	102	16416473	16416405	16416676	67	271	16	114
18880	103	16416296	16416268	16416500	27	232	9	96
18880	104	16416389	16416363	16416589	25	226	6	96
18880	105	16416350	16416315	16416552	34	237	8	96
18880	106	16416454	16416393	16416653	60	260	11	107
18880	107	16416463	16416387	16416664	75	277	15	114
18880	108	16416363	16416334	16416565	28	231	7	96
18880	109	16416384	16416347	16416583	36	236	7	96
18880	110	16416384	16416335	16416582	48	247	8	96
18880	111	16416360	16416324	16416559	35	235	8	96
18880	112	16416528	16416435	16416726	92	291	20	125
18880	113	16416344	16416308	16416547	35	239	8	96
18880	114	16416391	16416359	16416593	31	234	9	96
18880	115	16416357	16416321	16416559	35	238	7	96
18880	116	16416390	16416347	16416592	42	245	9	96
18880	117	16416468	16416417	16416671	50	254	10	107
18880	118	16416388	16416324	16416590	63	266	15	114
18880	119	16416334	16416293	16416535	40	242	7	96
18880	120	16416362	16416335	16416564	26	229	7	96
18880	121	16416361	16416324	16416564	36	240	8	96
18880	122	16416408	16416351	16416608	56	257	12	107
18880	123	16416431	16416356	16416630	74	274	16	114
18880	124	16416306	16416267	16416509	38	242	9	96
18880	125	16416378	16416346	16416579	31	233	8	96
18880	126	16416398	16416369	16416601	28	232	8	96
18880	127	16416437	16416379	16416632	57	253	9	107
18880	128	16416423	16416346	16416625	76	279	18	114
18880	129	16416334	16416296	16416534	37	238	8	96
18880	130	16416364	16416332	16416559	31	227	9	96
