ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19140	1	224464	6	224470	192	35	1122	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19140	2	224469	4	224473	196	29	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	3	224477	4	224481	192	30	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	4	224470	2	224472	199	28	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	32768	0	0
19140	5	224471	3	224474	194	28	1119	0	0	0	0	0	0	0	0	0	0	0	11480	20	24576	0	0
19140	6	224481	2	224483	190	38	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	7	224469	5	224474	194	28	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	24576	0	0
19140	8	224474	8	224482	192	36	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19140	9	224468	7	224475	194	33	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	10	224477	4	224481	198	29	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	11	224470	10	224480	196	29	1122	0	0	0	0	0	0	0	0	0	0	0	11480	23	65536	7	0
19140	12	224480	4	224484	192	33	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19140	13	224472	6	224478	194	28	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	14	224474	4	224478	194	32	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	15	224467	2	224469	188	38	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	16	224475	4	224479	194	31	1114	0	0	0	0	0	0	0	0	0	0	0	11480	20	32768	0	0
19140	17	224471	3	224474	194	27	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	18	224482	3	224485	197	29	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	45056	0	0
19140	19	224473	5	224478	192	31	1122	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	20	224473	5	224478	196	29	1122	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19140	21	224468	8	224476	196	30	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	22	224474	9	224483	196	29	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	23	224468	6	224474	193	31	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	24576	0	0
19140	24	224473	3	224476	194	31	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19140	25	224469	4	224473	194	29	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	26	224471	6	224477	196	28	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	27	224470	5	224475	190	37	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	65536	7	0
19140	28	224471	7	224478	196	28	1123	0	0	0	0	0	0	0	0	0	0	0	11480	20	24576	0	0
19140	29	224468	5	224473	196	31	2241	0	0	0	0	0	0	0	0	0	0	0	22960	43	28672	0	0
19140	30	224468	7	224475	192	32	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	24576	0	0
19140	31	224477	7	224484	192	34	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	32	224465	7	224472	194	30	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	24576	0	0
19140	33	224473	5	224478	190	36	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	34	224464	5	224469	192	34	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	35	224469	4	224473	190	33	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	28672	0	0
19140	36	224467	10	224477	194	31	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19140	37	224467	9	224476	194	33	1121	0	0	0	0	0	0	0	0	0	0	0	11496	24	28672	0	0
