ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
18100	1	2052240	38	2052278	191	236	1124	0	0	0	0	0	0	0	0	0	0	0	11480	41	249856	7	0
18100	2	2052216	52	2052268	188	241	1118	0	0	0	0	0	0	0	0	0	0	0	11480	38	225280	0	0
18100	3	2052227	48	2052275	189	239	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	245760	7	0
18100	4	2052233	46	2052279	193	237	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	258048	7	0
18100	5	2052235	35	2052270	189	238	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	212992	0	0
18100	6	2052220	49	2052269	190	240	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	262144	7	0
18100	7	2052236	29	2052265	185	247	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	241664	0	0
18100	8	2052213	47	2052260	193	243	1117	0	0	0	0	0	0	0	0	0	0	0	11480	38	262144	7	0
18100	9	2052233	36	2052269	191	240	1122	0	0	0	0	0	0	0	0	0	0	0	11480	41	221184	0	0
18100	10	2052227	42	2052269	189	244	1123	0	0	0	0	0	0	0	0	0	0	0	11480	41	241664	7	0
18100	11	2052213	44	2052257	191	245	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	204800	0	0
18100	12	2052228	42	2052270	193	232	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	221184	0	0
18100	13	2052240	35	2052275	187	243	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	282624	7	0
18100	14	2052242	38	2052280	191	235	1118	0	0	0	0	0	0	0	0	0	0	0	11480	38	245760	0	0
18100	15	2052231	44	2052275	193	233	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	282624	7	0
18100	16	2052230	37	2052267	193	235	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	217088	0	0
18100	17	2052228	43	2052271	191	241	1115	0	0	0	0	0	0	0	0	0	0	0	11480	41	266240	7	0
18100	18	2052232	44	2052276	187	243	1123	0	0	0	0	0	0	0	0	0	0	0	11480	41	270336	7	0
18100	19	2052226	45	2052271	191	232	1122	0	0	0	0	0	0	0	0	0	0	0	11480	41	221184	0	0
18100	20	2052233	39	2052272	187	242	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	241664	7	0
18100	21	2052217	43	2052260	191	237	1118	0	0	0	0	0	0	0	0	0	0	0	11480	38	237568	0	0
18100	22	2052241	42	2052283	199	238	2375	0	0	1	1	22	0	0	0	0	0	0	201361	205	253952	2925	0
18100	23	2052230	39	2052269	187	231	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	221184	0	0
18100	24	2052242	33	2052275	190	236	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	245760	7	0
18100	25	2052219	42	2052261	191	237	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	258048	7	0
18100	26	2052232	37	2052269	191	232	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	217088	0	0
18100	27	2052230	45	2052275	196	239	2242	0	0	0	0	0	0	0	0	0	0	0	22960	58	253952	7	0
18100	28	2052229	60	2052289	222	243	9115	0	0	0	0	0	0	0	0	0	0	0	1671277	1242	466944	51872	0
18100	29	2052239	44	2052283	187	246	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	274432	7	0
18100	30	2052220	44	2052264	189	238	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	221184	0	0
18100	31	2052233	36	2052269	192	242	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	241664	7	0
18100	32	2052233	38	2052271	187	242	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	241664	7	0
18100	33	2052226	51	2052277	189	243	1115	0	0	0	0	0	0	0	0	0	0	0	11480	38	212992	0	0
18100	34	2052231	39	2052270	189	241	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	266240	7	0
18100	35	2052233	42	2052275	187	238	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	229376	0	0
18100	36	2052232	38	2052270	187	241	1120	0	0	0	0	0	0	0	0	0	0	0	11480	41	233472	0	0
18100	37	2052241	35	2052276	195	229	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	208896	0	0
18100	38	2052232	43	2052275	191	235	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	262144	7	0
18100	39	2052225	43	2052268	191	238	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	233472	0	0
18100	40	2052219	52	2052271	191	238	1117	0	0	0	0	0	0	0	0	0	0	0	11480	38	229376	0	0
18100	41	2052226	41	2052267	189	236	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	262144	7	0
18100	42	2052219	45	2052264	191	236	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	212992	0	0
18100	43	2052220	46	2052266	188	237	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	253952	7	0
18100	44	2052231	34	2052265	187	240	1115	0	0	0	0	0	0	0	0	0	0	0	11572	44	212992	0	0
18100	45	2052219	44	2052263	191	245	1123	0	0	0	0	0	0	0	0	0	0	0	11480	41	249856	7	0
18100	46	2052233	32	2052265	189	246	1120	0	0	0	0	0	0	0	0	0	0	0	11480	38	225280	0	0
18100	47	2052237	51	2052288	191	233	1117	0	0	0	0	0	0	0	0	0	0	0	11571	44	270336	7	0
18100	48	2052235	49	2052284	193	234	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	274432	7	0
18100	49	2052239	31	2052270	191	237	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	245760	0	0
18100	50	2052231	48	2052279	193	234	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	270336	7	0
18100	51	2052224	35	2052259	191	246	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	237568	0	0
18100	52	2052233	37	2052270	192	235	1119	0	0	0	0	0	0	0	0	0	0	0	11480	41	249856	7	0
18100	53	2052222	44	2052266	193	233	1115	0	0	0	0	0	0	0	0	0	0	0	11480	38	241664	0	0
18100	54	2052228	43	2052271	189	237	1122	0	0	0	0	0	0	0	0	0	0	0	11480	41	266240	7	0
18100	55	2052221	55	2052276	190	233	1122	0	0	0	0	0	0	0	0	0	0	0	11480	41	249856	7	0
18100	56	2052227	42	2052269	187	243	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	237568	0	0
18100	57	2052225	48	2052273	191	238	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	237568	7	0
18100	58	2052223	41	2052264	194	236	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	217088	0	0
18100	59	2052243	32	2052275	192	231	1117	0	0	0	0	0	0	0	0	0	0	0	11480	38	245760	7	0
18100	60	2052231	37	2052268	191	239	1115	0	0	0	0	0	0	0	0	0	0	0	11572	44	212992	0	0
18100	61	2052241	38	2052279	191	240	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	266240	7	0
18100	62	2052225	42	2052267	195	235	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	270336	7	0
18100	63	2052232	41	2052273	191	238	1122	0	0	0	0	0	0	0	0	0	0	0	11480	41	225280	0	0
18100	64	2052230	39	2052269	191	241	1122	0	0	0	0	0	0	0	0	0	0	0	11480	41	262144	7	0
18100	65	2052238	36	2052274	196	235	2374	0	0	1	1	22	0	0	0	0	0	0	193260	204	221184	2918	0
18100	66	2052222	42	2052264	191	238	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	253952	7	0
18100	67	2052232	38	2052270	191	241	1117	0	0	0	0	0	0	0	0	0	0	0	11480	41	208896	0	0
18100	68	2052222	45	2052267	193	237	1118	0	0	0	0	0	0	0	0	0	0	0	11480	41	282624	7	0
18100	69	2052229	45	2052274	191	237	1116	0	0	0	0	0	0	0	0	0	0	0	11480	41	245760	7	0
