TASK_LEN (in s),SAMPLE_SIZE,RAW_BIN (in ms),RAW_FREQ,NOR_PT,REL_FREQ
1,1000,998.5,9,-1.5,0.009
1,1000,999.5,35,-0.5,0.035
1,1000,1000.5,26,0.5,0.026
1,1000,1001.5,28,1.5,0.028
1,1000,1002.5,250,2.5,0.25
1,1000,1003.5,603,3.5,0.603
1,1000,1004.5,49,4.5,0.049
2,1000,1998.5,4,-0.75,0.004
2,1000,1999.5,31,-0.25,0.031
2,1000,2000.5,25,0.25,0.025
2,1000,2001.5,23,0.75,0.023
2,1000,2002.5,22,1.25,0.022
2,1000,2003.5,34,1.75,0.034
2,1000,2004.5,65,2.25,0.065
2,1000,2005.5,636,2.75,0.636
2,1000,2006.5,153,3.25,0.153
2,1000,2007.5,7,3.75,0.007
4,1000,4003.5,38,0.875,0.038
4,1000,4004.5,87,1.125,0.087
4,1000,4005.5,42,1.375,0.042
4,1000,4006.5,27,1.625,0.027
4,1000,4007.5,33,1.875,0.033
4,1000,4008.5,23,2.125,0.023
4,1000,4009.5,212,2.375,0.212
4,1000,4010.5,369,2.625,0.369
4,1000,4011.5,167,2.875,0.167
4,1000,4012.5,2,3.125,0.002
8,1000,8013.5,18,1.6875,0.018
8,1000,8014.5,95,1.8125,0.095
8,1000,8015.5,194,1.9375,0.194
8,1000,8016.5,78,2.0625,0.078
8,1000,8017.5,26,2.1875,0.026
8,1000,8018.5,29,2.3125,0.029
8,1000,8019.5,52,2.4375,0.052
8,1000,8020.5,180,2.5625,0.18
8,1000,8021.5,298,2.6875,0.298
8,1000,8022.5,29,2.8125,0.029
16,1000,16031.5,1,1.96875,0.001
16,1000,16032.5,60,2.03125,0.06
16,1000,16033.5,324,2.09375,0.324
16,1000,16034.5,341,2.15625,0.341
16,1000,16035.5,85,2.21875,0.085
16,1000,16036.5,21,2.28125,0.021
16,1000,16037.5,19,2.34375,0.019
16,1000,16038.5,40,2.40625,0.04
16,1000,16039.5,53,2.46875,0.053
16,1000,16040.5,50,2.53125,0.05
16,1000,16041.5,6,2.59375,0.006
32,1000,32064.5,7,2.015625,0.007
32,1000,32065.5,75,2.046875,0.075
32,1000,32066.5,234,2.078125,0.234
32,1000,32067.5,259,2.109375,0.259
32,1000,32068.5,71,2.140625,0.071
32,1000,32069.5,36,2.171875,0.036
32,1000,32070.5,22,2.203125,0.022
32,1000,32071.5,55,2.234375,0.055
32,1000,32072.5,120,2.265625,0.12
32,1000,32073.5,100,2.296875,0.1
32,1000,32074.5,16,2.328125,0.016
32,1000,32075.5,1,2.359375,0.001
32,1000,32076.5,1,2.390625,0.001
32,1000,32077.5,1,2.421875,0.001
32,1000,32078.5,0,2.453125,0
32,1000,32079.5,0,2.484375,0
32,1000,32080.5,0,2.515625,0
32,1000,32081.5,0,2.546875,0
32,1000,32082.5,0,2.578125,0
32,1000,32083.5,0,2.609375,0
32,1000,32084.5,0,2.640625,0
32,1000,32085.5,0,2.671875,0
32,1000,32086.5,1,2.703125,0.001
64,1000,64128.5,2,2.0078125,0.002
64,1000,64129.5,4,2.0234375,0.004
64,1000,64130.5,31,2.0390625,0.031
64,1000,64131.5,89,2.0546875,0.089
64,1000,64132.5,99,2.0703125,0.099
64,1000,64133.5,80,2.0859375,0.08
64,1000,64134.5,29,2.1015625,0.029
64,1000,64135.5,37,2.1171875,0.037
64,1000,64136.5,111,2.1328125,0.111
64,1000,64137.5,184,2.1484375,0.184
64,1000,64138.5,205,2.1640625,0.205
64,1000,64139.5,96,2.1796875,0.096
64,1000,64140.5,26,2.1953125,0.026
64,1000,64141.5,4,2.2109375,0.004
64,1000,64142.5,3,2.2265625,0.003
128,300,128266,2,2.078125,0.006666667
128,300,128268,28,2.09375,0.093333333
128,300,128270,100,2.109375,0.333333333
128,300,128272,62,2.125,0.206666667
128,300,128274,28,2.140625,0.093333333
128,300,128276,50,2.15625,0.166666667
128,300,128278,22,2.171875,0.073333333
128,300,128280,6,2.1875,0.02
128,300,128282,1,2.203125,0.003333333
256,300,256535,3,2.08984375,0.01
256,300,256537,15,2.09765625,0.05
256,300,256539,21,2.10546875,0.07
256,300,256541,34,2.11328125,0.113333333
256,300,256543,36,2.12109375,0.12
256,300,256545,66,2.12890625,0.22
256,300,256547,47,2.13671875,0.156666667
256,300,256549,39,2.14453125,0.13
256,300,256551,22,2.15234375,0.073333333
256,300,256553,10,2.16015625,0.033333333
256,300,256555,2,2.16796875,0.006666667
256,300,256557,2,2.17578125,0.006666667
256,300,256559,1,2.18359375,0.003333333
256,300,256561,0,2.19140625,0
256,300,256563,0,2.19921875,0
256,300,256565,0,2.20703125,0
256,300,256567,0,2.21484375,0
256,300,256569,0,2.22265625,0
256,300,256571,1,2.23046875,0.003333333
512,300,513078.5,34,2.106445313,0.113333333
