Task Length	PT	ET
1	0.0010747	0.0011754
2	0.0008157	0.0008920
3	0.0006771	
4	0.0005897	0.0006151
6	0.0004451	
8	0.0003518	0.0003602
12	0.0002436	
16	0.0001355	0.0001450
24	0.0001046	
32	0.0000884	0.0001089
48	0.0000587	
64	0.0000454	0.0000461
72	0.0000385	
80	0.0000288	
88	0.0000348	
96	0.0000227	
104	0.0000303	
112	0.0000229	
120	0.0000251	
128	0.0000246	0.0000382
160	0.0000243	
192	0.0000194	
224	0.0000176	
256	0.0000179	0.0000230
512	0.0000089	0.0000121
1024	0.0000062	0.0000098
2048	0.0000042	0.0000060
4096	0.0000028	0.0000039
