Task Length	PT	ET
1	1.0773860	1.1784510
2	1.635024	1.788366
3	2.0358130	
4	2.3639640	2.4658550
6	2.6770630	
8	2.820572	2.888886
12	2.9293710	
16	2.1731790	2.3260630
24	2.5163390	
32	2.8344580	3.4932060
48	2.8255920	
64	2.9128850	2.9558540
72	2.7794370	
80	2.3112880	
88	3.0692840	
96	2.1814250	
104	3.1558240	
112	2.5707280	
120	3.0199640	
128	3.1595880	4.8987740
160	3.8967680	
192	3.7277560	
224	3.9584840	
256	4.6025000	5.9067880
512	4.5761020	6.1892160
1024	6.3853790	10.0900100
2048	8.6555080	12.3449700
4096	11.5919600	16.1636100

