ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19240	1	24052	0	24052	196	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	2	24051	1	24052	186	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	3	24047	1	24048	192	8	2	0	0	0	0	0	0	0	0	0	0	0	0	3	8192	0	0
19240	4	24051	1	24052	192	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	5	24051	2	24053	196	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	6	24052	0	24052	196	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	7	24046	0	24046	192	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	8	24054	0	24054	190	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	9	24050	2	24052	194	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	10	24052	1	24053	194	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	11	24051	0	24051	192	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	12	24045	1	24046	194	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	13	24053	0	24053	194	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	14	24052	0	24052	192	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	15	24052	1	24053	192	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	16	24051	0	24051	194	7	2	0	0	0	0	0	0	0	0	0	0	0	0	3	8192	0	0
19240	17	24048	0	24048	196	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	18	24052	0	24052	194	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	19	24050	2	24052	194	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19240	20	24051	1	24052	194	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
