ITERNUM	U_TIME	S_TIME	PRTIME	METIME
1	2052240	38	2052278	2052508
2	2052216	52	2052268	2052499
3	2052227	48	2052275	2052506
4	2052233	46	2052279	2052511
5	2052235	35	2052270	2052501
6	2052220	49	2052269	2052500
7	2052236	29	2052265	2052499
8	2052213	47	2052260	2052500
9	2052233	36	2052269	2052503
10	2052227	42	2052269	2052502
11	2052213	44	2052257	2052497
12	2052228	42	2052270	2052498
13	2052240	35	2052275	2052506
14	2052242	38	2052280	2052509
15	2052231	44	2052275	2052504
16	2052230	37	2052267	2052497
17	2052228	43	2052271	2052506
18	2052232	44	2052276	2052511
19	2052226	45	2052271	2052496
20	2052233	39	2052272	2052504
21	2052217	43	2052260	2052491
22	2052241	42	2052283	2052524
23	2052230	39	2052269	2052490
24	2052242	33	2052275	2052503
25	2052219	42	2052261	2052495
26	2052232	37	2052269	2052497
27	2052230	45	2052275	2052511
28	2052229	60	2052289	2052558
29	2052239	44	2052283	2052518
30	2052220	44	2052264	2052494
31	2052233	36	2052269	2052506
32	2052233	38	2052271	2052503
33	2052226	51	2052277	2052514
34	2052231	39	2052270	2052502
35	2052233	42	2052275	2052504
36	2052232	38	2052270	2052500
37	2052241	35	2052276	2052502
38	2052232	43	2052275	2052507
39	2052225	43	2052268	2052503
40	2052219	52	2052271	2052503
41	2052226	41	2052267	2052498
42	2052219	45	2052264	2052494
43	2052220	46	2052266	2052493
44	2052231	34	2052265	2052497
45	2052219	44	2052263	2052502
46	2052233	32	2052265	2052503
47	2052237	51	2052288	2052515
48	2052235	49	2052284	2052515
49	2052239	31	2052270	2052504
50	2052231	48	2052279	2052508
51	2052224	35	2052259	2052500
52	2052233	37	2052270	2052499
53	2052222	44	2052266	2052496
54	2052228	43	2052271	2052500
55	2052221	55	2052276	2052499
56	2052227	42	2052269	2052501
57	2052225	48	2052273	2052505
58	2052223	41	2052264	2052496
59	2052243	32	2052275	2052500
60	2052231	37	2052268	2052501
61	2052241	38	2052279	2052514
62	2052225	42	2052267	2052501
63	2052232	41	2052273	2052507
64	2052230	39	2052269	2052504
65	2052238	36	2052274	2052508
66	2052222	42	2052264	2052497
67	2052232	38	2052270	2052505
68	2052222	45	2052267	2052503
69	2052229	45	2052274	2052505
70	2052245	55	2052300	2052569
71	2052233	43	2052276	2052512
72	2052232	40	2052272	2052503
73	2052234	41	2052275	2052503
74	2052239	43	2052282	2052506
75	2052239	36	2052275	2052511
76	2052230	47	2052277	2052513
77	2052232	40	2052272	2052504
78	2052236	47	2052283	2052514
79	2052226	50	2052276	2052507
80	2052237	55	2052292	2052519
81	2052231	44	2052275	2052507
82	2052230	40	2052270	2052503
83	2052231	37	2052268	2052502
84	2052228	33	2052261	2052491
85	2052230	51	2052281	2052516
86	2052240	35	2052275	2052504
87	2052240	43	2052283	2052516
88	2052234	39	2052273	2052508
89	2052253	39	2052292	2052527
90	2052239	35	2052274	2052502
91	2052228	42	2052270	2052506
92	2052218	38	2052256	2052494
93	2052245	41	2052286	2052514
94	2052227	44	2052271	2052503
95	2052230	44	2052274	2052502
96	2052234	42	2052276	2052506
97	2052225	39	2052264	2052495
98	2052223	44	2052267	2052500
99	2052212	57	2052269	2052503
100	2052225	43	2052268	2052503
101	2052226	42	2052268	2052498
102	2052227	42	2052269	2052503
103	2052224	46	2052270	2052502
104	2052232	46	2052278	2052506
105	2052213	40	2052253	2052490
106	2052223	42	2052265	2052504
107	2052236	42	2052278	2052515
108	2052224	47	2052271	2052500
109	2052228	37	2052265	2052493
110	2052224	50	2052274	2052509
111	2052220	50	2052270	2052502
112	2052237	69	2052306	2052574
113	2052232	38	2052270	2052506
114	2052235	29	2052264	2052493
115	2052222	50	2052272	2052514
116	2052226	42	2052268	2052499
117	2052242	46	2052288	2052514
118	2052233	32	2052265	2052502
119	2052231	40	2052271	2052507
120	2052218	49	2052267	2052498
121	2052217	44	2052261	2052496
122	2052233	49	2052282	2052514
123	2052236	33	2052269	2052500
124	2052240	37	2052277	2052515
125	2052237	39	2052276	2052506
126	2052235	46	2052281	2052515
127	2052224	49	2052273	2052507
128	2052230	38	2052268	2052501
129	2052217	52	2052269	2052500
130	2052222	54	2052276	2052512
131	2052236	42	2052278	2052512
132	2052231	35	2052266	2052501
133	2052222	48	2052270	2052503
134	2052248	35	2052283	2052515
135	2052212	52	2052264	2052504
136	2052223	43	2052266	2052499
137	2052238	46	2052284	2052516
138	2052231	44	2052275	2052503
139	2052249	34	2052283	2052519
140	2052229	38	2052267	2052499
141	2052238	39	2052277	2052506
142	2052234	39	2052273	2052506
143	2052220	38	2052258	2052500
144	2052238	25	2052263	2052500
145	2052226	47	2052273	2052512
146	2052234	39	2052273	2052506
147	2052229	41	2052270	2052500
148	2052237	50	2052287	2052530
149	2052239	36	2052275	2052504
150	2052223	36	2052259	2052495
151	2052241	36	2052277	2052511
152	2052239	50	2052289	2052526
153	2052236	35	2052271	2052501
154	2052232	51	2052283	2052565
155	2052220	46	2052266	2052501
156	2052228	49	2052277	2052505
157	2052217	43	2052260	2052494
158	2052234	47	2052281	2052509
159	2052227	48	2052275	2052513
160	2052238	37	2052275	2052510
161	2052214	42	2052256	2052495
162	2052249	37	2052286	2052519
163	2052227	44	2052271	2052496
164	2052229	51	2052280	2052510
165	2052234	33	2052267	2052504
166	2052330	125	2052455	2053543
167	2052214	50	2052264	2052493
168	2052225	46	2052271	2052506
