RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
18840	1	8210071	8209139	8210269	931	1130	9	94
18840	2	8210044	8209108	8210243	935	1135	9	94
18840	3	8210081	8209134	8210283	946	1149	13	96
18840	4	8210128	8209159	8210328	968	1169	18	112
18840	5	8210075	8209141	8210271	933	1130	10	94
18840	6	8210060	8209129	8210259	930	1130	11	94
18840	7	8210049	8209112	8210246	936	1134	9	94
18840	8	8210058	8209120	8210254	937	1134	9	94
18840	9	8210046	8209111	8210244	934	1133	10	94
18840	10	8210058	8209122	8210256	935	1134	10	94
18840	11	8210035	8209103	8210233	931	1130	10	94
18840	12	8210050	8209117	8210248	932	1131	9	94
18840	13	8210051	8209116	8210248	934	1132	11	96
18840	14	8210034	8209101	8210231	932	1130	11	94
18840	15	8210119	8209140	8210317	978	1177	18	112
18840	16	8210060	8209123	8210256	936	1133	10	94
18840	17	8210047	8209110	8210247	936	1137	10	94
18840	18	8210052	8209121	8210251	930	1130	10	94
18840	19	8210069	8209129	8210268	939	1139	7	94
18840	20	8210043	8209117	8210238	925	1121	10	94
18840	21	8210036	8209110	8210236	925	1126	11	94
18840	22	8210032	8209105	8210229	926	1124	10	94
18840	23	8210020	8209088	8210219	931	1131	11	94
18840	24	8210075	8209143	8210274	931	1131	13	96
18840	25	8210131	8209145	8210325	985	1180	18	112
18840	26	8210055	8209113	8210254	941	1141	9	94
18840	27	8210023	8209083	8210221	939	1138	11	94
18840	28	8210027	8209096	8210227	930	1131	10	94
18840	29	8210062	8209134	8210260	927	1126	9	94
18840	30	8210053	8209122	8210251	930	1129	10	94
18840	31	8210046	8209107	8210243	938	1136	10	94
18840	32	8210035	8209099	8210232	935	1133	11	94
18840	33	8210039	8209099	8210239	939	1140	10	94
18840	34	8209999	8209070	8210196	928	1126	10	96
18840	35	8210025	8209097	8210223	927	1126	10	94
18840	36	8210138	8209153	8210337	984	1184	18	112
18840	37	8210059	8209130	8210258	928	1128	10	94
18840	38	8210019	8209096	8210215	922	1119	9	94
18840	39	8210052	8209131	8210253	920	1122	9	94
18840	40	8210063	8209127	8210259	935	1132	9	94
18840	41	8210056	8209131	8210258	924	1127	11	94
18840	42	8210044	8209110	8210243	933	1133	10	94
18840	43	8210039	8209096	8210241	942	1145	11	94
18840	44	8210053	8209124	8210254	928	1130	9	94
18840	45	8210058	8209117	8210258	940	1141	10	96
18840	46	8210093	8209122	8210293	970	1171	16	112
18840	47	8210041	8209114	8210240	926	1126	10	94
18840	48	8210034	8209103	8210233	930	1130	9	95
18840	49	8210067	8209135	8210261	931	1126	9	94
18840	50	8210074	8209138	8210273	935	1135	10	94
18840	51	8210057	8209115	8210256	941	1141	9	94
18840	52	8210039	8209099	8210239	939	1140	10	94
18840	53	8210041	8209122	8210240	918	1118	9	94
18840	54	8210037	8209109	8210233	927	1124	10	94
18840	55	8210040	8209092	8210234	947	1142	12	96
18840	56	8210013	8209081	8210209	931	1128	10	94
18840	57	8210121	8209150	8210321	970	1171	19	112
18840	58	8210052	8209118	8210251	933	1133	10	94
18840	59	8210040	8209100	8210240	939	1140	10	94
18840	60	8210020	8209077	8210220	942	1143	10	94
18840	61	8210026	8209103	8210223	922	1120	8	94
18840	62	8210022	8209101	8210221	920	1120	9	94
18840	63	8210039	8209110	8210234	928	1124	10	94
18840	64	8210044	8209108	8210243	935	1135	11	94
18840	65	8210023	8209104	8210220	918	1116	9	94
18840	66	8210080	8209131	8210276	948	1145	11	96
18840	67	8210120	8209143	8210316	976	1173	18	112
18840	68	8210042	8209112	8210242	929	1130	10	94
18840	69	8210052	8209116	8210251	935	1135	9	94
18840	70	8210048	8209103	8210249	944	1146	9	94
18840	71	8210051	8209132	8210251	918	1119	8	94
18840	72	8210016	8209089	8210214	926	1125	8	94
18840	73	8210000	8209075	8210200	924	1125	8	94
18840	74	8210060	8209130	8210257	929	1127	10	94
18840	75	8210056	8209128	8210255	927	1127	8	94
18840	76	8210080	8209140	8210278	939	1138	11	96
18840	77	8210046	8209116	8210246	929	1130	8	94
18840	78	8210117	8209130	8210312	986	1182	16	112
18840	79	8210043	8209107	8210240	935	1133	10	94
18840	80	8210036	8209105	8210233	930	1128	10	94
18840	81	8210066	8209127	8210262	938	1135	9	94
18840	82	8210067	8209135	8210266	931	1131	11	94
18840	83	8210042	8209118	8210242	923	1124	10	94
18840	84	8210029	8209110	8210228	918	1118	9	94
18840	85	8210023	8209102	8210220	920	1118	10	94
18840	86	8210024	8209098	8210223	925	1125	9	94
18840	87	8210020	8209089	8210218	930	1129	11	96
18840	88	8210119	8209147	8210319	971	1172	17	112
18840	89	8210054	8209111	8210254	942	1143	9	94
18840	90	8210034	8209101	8210232	932	1131	10	94
18840	91	8210061	8209134	8210259	926	1125	9	94
18840	92	8210014	8209081	8210212	932	1131	10	94
18840	93	8210040	8209114	8210237	925	1123	9	94
18840	94	8210000	8209078	8210198	921	1120	10	94
18840	95	8210024	8209104	8210222	919	1118	7	94
18840	96	8210051	8209125	8210250	925	1125	9	94
18840	97	8210039	8209100	8210238	938	1138	12	96
18840	98	8210013	8209078	8210212	934	1134	10	94
18840	99	8210083	8209117	8210281	965	1164	17	112
18840	100	8210036	8209099	8210233	936	1134	10	94
18840	101	8210059	8209136	8210255	922	1119	9	94
18840	102	8210027	8209107	8210225	919	1118	9	94
18840	103	8210033	8209099	8210230	933	1131	8	94
18840	104	8210084	8209153	8210283	930	1130	9	94
18840	105	8210032	8209108	8210234	923	1126	10	94
18840	106	8210026	8209102	8210222	923	1120	9	94
18840	107	8210034	8209092	8210231	941	1139	8	94
18840	108	8210031	8209086	8210228	944	1142	11	96
18840	109	8210102	8209128	8210300	973	1172	16	112
18840	110	8210054	8209116	8210249	937	1133	10	94
18840	111	8210057	8209135	8210256	921	1121	10	94
18840	112	8210039	8209119	8210240	919	1121	9	94
18840	113	8210038	8209094	8210234	943	1140	10	94
18840	114	8210035	8209106	8210231	928	1125	10	94
18840	115	8210054	8209119	8210252	934	1133	10	94
18840	116	8210020	8209101	8210217	918	1116	8	94
18840	117	8210023	8209096	8210221	926	1125	9	94
18840	118	8210053	8209114	8210251	938	1137	11	96
18840	119	8210040	8209117	8210236	922	1119	10	94
18840	120	8210126	8209140	8210322	985	1182	19	112
18840	121	8210057	8209133	8210253	923	1120	10	94
18840	122	8210061	8209120	8210261	940	1141	8	94
18840	123	8210067	8209132	8210263	934	1131	10	94
18840	124	8210063	8209126	8210260	936	1134	11	94
18840	125	8210062	8209128	8210263	933	1135	11	94
18840	126	8210023	8209100	8210221	922	1121	10	94
18840	127	8210061	8209128	8210261	932	1133	9	94
18840	128	8210043	8209112	8210241	930	1129	10	94
18840	129	8210023	8209090	8210218	932	1128	11	96
18840	130	8210081	8209117	8210280	963	1163	19	112
18840	131	8210023	8209095	8210220	927	1125	9	94
18840	132	8210016	8209085	8210215	930	1130	10	94
18840	133	8210017	8209079	8210211	937	1132	10	94
18840	134	8210001	8209067	8210202	933	1135	10	94
18840	135	8210046	8209112	8210244	933	1132	10	94
18840	136	8210027	8209090	8210225	936	1135	9	94
18840	137	8210019	8209090	8210215	928	1125	10	94
18840	138	8210036	8209118	8210236	917	1118	9	94
18840	139	8210028	8209090	8210226	937	1136	10	96
18840	140	8210023	8209101	8210221	921	1120	10	94
18840	141	8210121	8209139	8210322	981	1183	17	112
18840	142	8210042	8209116	8210238	925	1122	9	94
18840	143	8210032	8209101	8210231	930	1130	9	94
18840	144	8210047	8209113	8210245	933	1132	9	94
18840	145	8210028	8209103	8210224	924	1121	10	94
18840	146	8210037	8209105	8210237	931	1132	9	94
18840	147	8210000	8209062	8210199	937	1137	10	94
18840	148	8210037	8209103	8210234	933	1131	10	94
18840	149	8210060	8209122	8210259	937	1137	10	94
18840	150	8210063	8209130	8210261	932	1131	10	96
18840	151	8210082	8209095	8210279	986	1184	18	112
18840	152	8210019	8209096	8210218	922	1122	9	94
18840	153	8210044	8209121	8210244	922	1123	9	94
18840	154	8210047	8209105	8210245	941	1140	9	94
18840	155	8210027	8209092	8210223	934	1131	9	94
18840	156	8210037	8209113	8210236	923	1123	9	94
18840	157	8210072	8209143	8210268	928	1125	10	94
18840	158	8210033	8209108	8210230	924	1122	9	94
18840	159	8210041	8209121	8210238	919	1117	8	94
18840	160	8210052	8209122	8210252	929	1130	9	94
18840	161	8210057	8209117	8210250	939	1133	10	96
18840	162	8210086	8209120	8210286	965	1166	16	112
18840	163	8210064	8209131	8210262	932	1131	8	94
18840	164	8210059	8209129	8210256	929	1127	8	94
18840	165	8210032	8209104	8210231	927	1127	9	94
18840	166	8210040	8209107	8210237	932	1130	10	94
18840	167	8210057	8209124	8210253	932	1129	9	94
18840	168	8210032	8209088	8210224	943	1136	10	94
18840	169	8210035	8209103	8210234	931	1131	10	94
18840	170	8210009	8209063	8210209	945	1146	9	94
18840	171	8210058	8209117	8210252	940	1135	11	96
18840	172	8210120	8209139	8210318	980	1179	16	112
18840	173	8210028	8209100	8210227	927	1127	8	94
18840	174	8210047	8209118	8210246	928	1128	10	94
18840	175	8210030	8209108	8210228	921	1120	10	94
18840	176	8210066	8209127	8210264	938	1137	9	94
18840	177	8210048	8209122	8210247	925	1125	9	94
18840	178	8210045	8209109	8210244	935	1135	11	94
18840	179	8210047	8209116	8210248	930	1132	10	94
18840	180	8210035	8209112	8210234	922	1122	10	94
18840	181	8210035	8209100	8210234	934	1134	9	94
18840	182	8210040	8209100	8210236	939	1136	11	96
18840	183	8210109	8209144	8210306	964	1162	15	112
18840	184	8210047	8209114	8210244	932	1130	11	94
18840	185	8210036	8209102	8210235	933	1133	10	94
18840	186	8210045	8209121	8210245	923	1124	9	94
18840	187	8210018	8209092	8210216	925	1124	9	94
18840	188	8210034	8209107	8210232	926	1125	10	94
18840	189	8210033	8209094	8210234	938	1140	11	94
18840	190	8210045	8209116	8210245	928	1129	9	94
18840	191	8210070	8209140	8210268	929	1128	9	94
18840	192	8210040	8209117	8210239	922	1122	12	96
18840	193	8210053	8209120	8210251	932	1131	11	94
18840	194	8210127	8209149	8210326	977	1177	16	112
18840	195	8210035	8209108	8210234	926	1126	10	94
18840	196	8210055	8209123	8210254	931	1131	10	94
18840	197	8210036	8209104	8210235	931	1131	10	94
18840	198	8210029	8209097	8210221	931	1124	9	94
18840	199	8210011	8209080	8210212	930	1132	11	94
18840	200	8210037	8209109	8210234	927	1125	10	94
18840	201	8210054	8209119	8210255	934	1136	8	94
18840	202	8210018	8209091	8210217	926	1126	8	94
18840	203	8210068	8209122	8210265	945	1143	11	96
18840	204	8210093	8209111	8210293	981	1182	18	112
18840	205	8210050	8209127	8210248	922	1121	11	94
18840	206	8210059	8209129	8210257	929	1128	10	94
18840	207	8210040	8209112	8210242	927	1130	9	94
18840	208	8210045	8209107	8210242	937	1135	10	94
18840	209	8210005	8209075	8210203	929	1128	10	94
18840	210	8210043	8209101	8210239	941	1138	10	94
18840	211	8210049	8209117	8210250	931	1133	8	94
18840	212	8210033	8209097	8210232	935	1135	10	94
18840	213	8210073	8209139	8210271	933	1132	10	96
18840	214	8210012	8209092	8210209	919	1117	9	94
18840	215	8210119	8209156	8210320	962	1164	18	112
18840	216	8210034	8209113	8210233	920	1120	8	94
18840	217	8210040	8209110	8210240	929	1130	11	94
18840	218	8210024	8209090	8210225	933	1135	9	94
18840	219	8210035	8209105	8210236	929	1131	10	94
18840	220	8210024	8209095	8210223	928	1128	9	94
18840	221	8210020	8209093	8210223	926	1130	9	94
18840	222	8210043	8209102	8210241	940	1139	9	94
18840	223	8210039	8209112	8210239	926	1127	10	94
18840	224	8210007	8209067	8210206	939	1139	11	96
18840	225	8210105	8209130	8210302	974	1172	17	112
18840	226	8210035	8209110	8210234	924	1124	9	94
18840	227	8210054	8209118	8210248	935	1130	10	94
18840	228	8210026	8209092	8210223	933	1131	10	94
18840	229	8210026	8209100	8210226	925	1126	9	94
18840	230	8210023	8209089	8210220	933	1131	10	94
18840	231	8209993	8209067	8210190	925	1123	9	94
18840	232	8210025	8209087	8210223	937	1136	10	94
18840	233	8210047	8209118	8210245	928	1127	8	94
18840	234	8210017	8209070	8210214	946	1144	11	96
18840	235	8210036	8209108	8210235	927	1127	8	94
18840	236	8210111	8209127	8210309	983	1182	18	112
18840	237	8210036	8209102	8210235	933	1133	9	94
18840	238	8210034	8209119	8210231	914	1112	9	94
18840	239	8210045	8209124	8210246	920	1122	9	94
18840	240	8210039	8209107	8210237	931	1130	9	94
18840	241	8210012	8209086	8210207	925	1121	9	94
18840	242	8210023	8209090	8210224	932	1134	10	94
18840	243	8210065	8209138	8210261	926	1123	10	94
18840	244	8210034	8209106	8210233	927	1127	8	94
18840	245	8210063	8209129	8210259	933	1130	11	96
18840	246	8210084	8209110	8210281	973	1171	15	112
18840	247	8210028	8209107	8210227	920	1120	8	94
18840	248	8210020	8209092	8210214	927	1122	10	94
18840	249	8210034	8209107	8210233	926	1126	12	94
18840	250	8210033	8209103	8210231	929	1128	9	94
18840	251	8210030	8209103	8210229	926	1126	10	94
18840	252	8209992	8209062	8210191	929	1129	9	94
18840	253	8210048	8209112	8210247	935	1135	10	94
18840	254	8210065	8209135	8210261	929	1126	10	94
18840	255	8210033	8209097	8210231	935	1134	10	96
18840	256	8210046	8209121	8210245	924	1124	9	94
18840	257	8210103	8209126	8210305	976	1179	17	112
18840	258	8210041	8209117	8210242	923	1125	9	94
18840	259	8210037	8209107	8210234	929	1127	11	94
18840	260	8210010	8209087	8210209	922	1122	8	94
