ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
18120	1	4103958	31	4103989	196	10	1117	0	0	0	0	0	0	0	0	0	0	0	11480	62	475136	7	0
18120	2	4103974	25	4103999	196	10	1118	0	0	0	0	0	0	0	0	0	0	0	11480	59	512000	7	0
18120	3	4103976	25	4104001	190	22	1118	0	0	0	0	0	0	0	0	0	0	0	11480	62	507904	7	0
18120	4	4103979	26	4104005	196	11	1116	0	0	0	0	0	0	0	0	0	0	0	11480	62	479232	7	0
18120	5	4103971	30	4104001	195	12	1117	0	0	0	0	0	0	0	0	0	0	0	11480	59	520192	7	0
18120	6	4103945	27	4103972	201	10	1115	0	0	0	0	0	0	0	0	0	0	0	11480	62	495616	7	0
18120	7	4103951	31	4103982	196	12	1122	0	0	0	0	0	0	0	0	0	0	0	11480	62	532480	14	0
18120	8	4103941	25	4103966	196	21	1122	0	0	0	0	0	0	0	0	0	0	0	11480	62	466944	7	0
18120	9	4103959	42	4104001	194	12	1118	0	0	0	0	0	0	0	0	0	0	0	11480	59	471040	7	0
18120	10	4103968	30	4103998	194	11	1118	0	0	0	0	0	0	0	0	0	0	0	11480	62	466944	7	0
18120	11	4103988	25	4104013	209	16	5259	0	0	0	0	0	0	0	0	0	0	0	844085	681	454656	26325	0
18120	12	4103958	26	4103984	197	12	1118	0	0	0	0	0	0	0	0	0	0	0	11480	59	483328	7	0
18120	13	4103958	31	4103989	196	12	1116	0	0	0	0	0	0	0	0	0	0	0	11480	62	479232	7	0
18120	14	4103950	41	4103991	233	22	9116	0	0	0	0	0	0	0	0	0	0	0	1680003	1262	774144	51886	0
18120	15	4103961	27	4103988	198	12	1116	0	0	0	0	0	0	0	0	0	0	0	11480	59	487424	7	0
18120	16	4103960	30	4103990	192	18	1121	0	0	0	0	0	0	0	0	0	0	0	11480	62	483328	0	0
18120	17	4103952	21	4103973	196	10	1122	0	0	0	0	0	0	0	0	0	0	0	11480	62	466944	7	0
18120	18	4103948	35	4103983	196	8	1117	0	0	0	0	0	0	0	0	0	0	0	11480	59	466944	7	0
18120	19	4103950	30	4103980	192	14	1118	0	0	0	0	0	0	0	0	0	0	0	11480	62	458752	7	0
18120	20	4103974	25	4103999	198	9	1118	0	0	0	0	0	0	0	0	0	0	0	11480	62	430080	7	0
18120	21	4103963	36	4103999	193	18	1119	0	0	0	0	0	0	0	0	0	0	0	11480	59	536576	14	0
18120	22	4103961	33	4103994	192	21	1116	0	0	0	0	0	0	0	0	0	0	0	11480	62	450560	7	0
18120	23	4103956	24	4103980	196	12	1118	0	0	0	0	0	0	0	0	0	0	0	11480	62	483328	7	0
18120	24	4103939	30	4103969	196	14	1115	0	0	0	0	0	0	0	0	0	0	0	11480	59	487424	7	0
