DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
pgsql	418	7	90000	240000	90000	711344309423200256	Hash Join	0	82590
pgsql	418	7	90000	240000	100000	711344309423200256	Hash Join	0	88288
pgsql	418	7	90000	240000	110000	711344309423200256	Hash Join	0	91453
pgsql	418	7	90000	240000	120000	711344309423200256	Hash Join	0	97050
pgsql	418	7	90000	240000	130000	711344309423200256	Hash Join	0	108200
pgsql	418	7	90000	240000	140000	711344309423200256	Hash Join	0	114139
pgsql	418	7	90000	240000	150000	711344309423200256	Hash Join	0	121229
pgsql	418	7	90000	240000	160000	711344309423200256	Hash Join	0	128383
pgsql	418	7	90000	240000	170000	711344309423200256	Hash Join	0	120604
pgsql	418	7	90000	240000	180000	711344309423200256	Hash Join	0	127884
pgsql	418	7	90000	240000	190000	711344309423200256	Hash Join	0	135227
pgsql	418	7	90000	240000	200000	711344309423200256	Hash Join	0	141384
pgsql	418	7	90000	240000	210000	711344309423200256	Hash Join	0	145705
pgsql	418	7	90000	240000	220000	711344309423200256	Hash Join	0	158915
pgsql	418	7	90000	240000	230000	711344309423200256	Hash Join	0	166396
pgsql	418	7	90000	240000	240000	711344309423200256	Hash Join	0	173640
pgsql	418	7	90000	240000	90000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	100000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	110000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	120000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	130000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	140000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	150000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	160000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	170000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	180000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	190000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	200000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	210000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	220000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	230000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	240000	711344309423200256	Seq Scan	1	15406
pgsql	418	7	90000	240000	90000	711344309423200256	Hash	3	47956
pgsql	418	7	90000	240000	100000	711344309423200256	Hash	3	50822
pgsql	418	7	90000	240000	110000	711344309423200256	Hash	3	52369
pgsql	418	7	90000	240000	120000	711344309423200256	Hash	3	55067
pgsql	418	7	90000	240000	130000	711344309423200256	Hash	3	63280
pgsql	418	7	90000	240000	140000	711344309423200256	Hash	3	66247
pgsql	418	7	90000	240000	150000	711344309423200256	Hash	3	69081
pgsql	418	7	90000	240000	160000	711344309423200256	Hash	3	73195
pgsql	418	7	90000	240000	170000	711344309423200256	Hash	3	62340
pgsql	418	7	90000	240000	180000	711344309423200256	Hash	3	65259
pgsql	418	7	90000	240000	190000	711344309423200256	Hash	3	68205
pgsql	418	7	90000	240000	200000	711344309423200256	Hash	3	69932
pgsql	418	7	90000	240000	210000	711344309423200256	Hash	3	69788
pgsql	418	7	90000	240000	220000	711344309423200256	Hash	3	77246
pgsql	418	7	90000	240000	230000	711344309423200256	Hash	3	80193
pgsql	418	7	90000	240000	240000	711344309423200256	Hash	3	81616
pgsql	418	7	90000	240000	90000	711344309423200256	Hash Join	4	47956
