DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	PLANID	OPORDER	OPNAME	SLOPE	RSQR
oracle	285	7	100000	310000	4292327881861226330	0	SELECT STATEMENT	125.488	1
oracle	285	7	100000	310000	4292327881861226330	1	SORT	 	 
oracle	285	7	100000	310000	4292327881861226330	2	HASH JOIN	125.488	1
oracle	285	7	100000	310000	4292327881861226330	3	HASH JOIN	187.962	1
oracle	285	7	100000	310000	4292327881861226330	4	HASH JOIN	256.46	1
oracle	285	7	320000	550000	8121041163174394698	0	SELECT STATEMENT	118.544	1
oracle	285	7	320000	550000	8121041163174394698	1	SORT	 	 
oracle	285	7	320000	550000	8121041163174394698	2	HASH JOIN	118.544	1
oracle	285	7	320000	550000	8121041163174394698	4	HASH JOIN	182.522	1
oracle	285	7	320000	550000	8121041163174394698	5	HASH JOIN	256.339	1
oracle	285	7	560000	990000	8744452815005581450	0	SELECT STATEMENT	127.167	0.996
oracle	285	7	560000	990000	8744452815005581450	1	SORT	 	 
oracle	285	7	560000	990000	8744452815005581450	2	HASH JOIN	127.167	0.996
oracle	285	7	560000	990000	8744452815005581450	4	HASH JOIN	174.357	1
oracle	285	7	560000	990000	8744452815005581450	6	HASH JOIN	256.425	1
oracle	285	7	1000000	1650000	-7928896078830861302	0	SELECT STATEMENT	177.168	1
oracle	285	7	1000000	1650000	-7928896078830861302	1	SORT	 	 
oracle	285	7	1000000	1650000	-7928896078830861302	2	HASH JOIN	177.168	1
oracle	285	7	1000000	1650000	-7928896078830861302	4	HASH JOIN	228.946	1
oracle	285	7	1000000	1650000	-7928896078830861302	6	HASH JOIN	475.177	1
oracle	285	7	1660000	1990000	-5087970603184191574	0	SELECT STATEMENT	210.399	1
oracle	285	7	1660000	1990000	-5087970603184191574	1	SORT	 	 
oracle	285	7	1660000	1990000	-5087970603184191574	2	HASH JOIN	210.399	1
oracle	285	7	1660000	1990000	-5087970603184191574	4	HASH JOIN	475.326	1
oracle	285	7	1660000	1990000	-5087970603184191574	5	HASH JOIN	 	 
