DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	PLANID	OPORDER	OPNAME	SLOPE	RSQR
db2	252	7	50000	200000	-7734868676949578016	0	RETURN	46.087	1
db2	252	7	50000	200000	-7734868676949578016	1	GRPBY	46.087	1
db2	252	7	50000	200000	-7734868676949578016	2	HSJOIN	46.08	1
db2	252	7	50000	200000	-7734868676949578016	3	HSJOIN	 	 
db2	252	7	50000	200000	-7734868676949578016	4	TBSCAN	 	 
db2	252	7	50000	200000	-7734868676949578016	5	GRPBY	 	 
db2	252	7	50000	200000	-7734868676949578016	6	TBSCAN	 	 
db2	252	7	50000	200000	-7734868676949578016	7	HSJOIN	46.282	1
db2	252	7	50000	200000	-7734868676949578016	8	TBSCAN	93.309	1
db2	252	7	50000	200000	-7734868676949578016	9	TBSCAN	93.309	1
db2	252	7	230000	310000	-7734868676949578016	0	RETURN	46.019	1
db2	252	7	230000	310000	-7734868676949578016	1	GRPBY	46.019	1
db2	252	7	230000	310000	-7734868676949578016	2	HSJOIN	46.162	1
db2	252	7	230000	310000	-7734868676949578016	3	HSJOIN	 	 
db2	252	7	230000	310000	-7734868676949578016	4	TBSCAN	 	 
db2	252	7	230000	310000	-7734868676949578016	5	GRPBY	 	 
db2	252	7	230000	310000	-7734868676949578016	6	TBSCAN	 	 
db2	252	7	230000	310000	-7734868676949578016	7	HSJOIN	46.377	1
db2	252	7	230000	310000	-7734868676949578016	8	TBSCAN	93.498	1
db2	252	7	230000	310000	-7734868676949578016	9	TBSCAN	93.498	1
db2	252	7	450000	540000	-7734868676949578016	0	RETURN	45.977	1
db2	252	7	450000	540000	-7734868676949578016	1	GRPBY	45.977	1
db2	252	7	450000	540000	-7734868676949578016	2	HSJOIN	46.086	1
db2	252	7	450000	540000	-7734868676949578016	3	HSJOIN	 	 
db2	252	7	450000	540000	-7734868676949578016	4	TBSCAN	 	 
db2	252	7	450000	540000	-7734868676949578016	5	GRPBY	 	 
db2	252	7	450000	540000	-7734868676949578016	6	TBSCAN	 	 
db2	252	7	450000	540000	-7734868676949578016	7	HSJOIN	46.284	1
db2	252	7	450000	540000	-7734868676949578016	8	TBSCAN	93.317	1
db2	252	7	450000	540000	-7734868676949578016	9	TBSCAN	93.317	1
db2	252	7	560000	630000	-7734868676949578016	0	RETURN	46.053	1
db2	252	7	560000	630000	-7734868676949578016	1	GRPBY	46.053	1
db2	252	7	560000	630000	-7734868676949578016	2	HSJOIN	46.235	1
db2	252	7	560000	630000	-7734868676949578016	3	HSJOIN	 	 
db2	252	7	560000	630000	-7734868676949578016	4	TBSCAN	 	 
db2	252	7	560000	630000	-7734868676949578016	5	GRPBY	 	 
db2	252	7	560000	630000	-7734868676949578016	6	TBSCAN	 	 
db2	252	7	560000	630000	-7734868676949578016	7	HSJOIN	46.463	1
db2	252	7	560000	630000	-7734868676949578016	8	TBSCAN	93.651	1
db2	252	7	560000	630000	-7734868676949578016	9	TBSCAN	93.651	1
db2	252	7	650000	720000	-7734868676949578016	0	RETURN	45.889	1
db2	252	7	650000	720000	-7734868676949578016	1	GRPBY	45.889	1
db2	252	7	650000	720000	-7734868676949578016	2	HSJOIN	45.987	1
db2	252	7	650000	720000	-7734868676949578016	3	HSJOIN	 	 
db2	252	7	650000	720000	-7734868676949578016	4	TBSCAN	 	 
db2	252	7	650000	720000	-7734868676949578016	5	GRPBY	 	 
db2	252	7	650000	720000	-7734868676949578016	6	TBSCAN	 	 
db2	252	7	650000	720000	-7734868676949578016	7	HSJOIN	46.209	1
db2	252	7	650000	720000	-7734868676949578016	8	TBSCAN	93.183	1
db2	252	7	650000	720000	-7734868676949578016	9	TBSCAN	93.183	1
db2	252	7	1030000	1140000	6508104249353465056	0	RETURN	-0.308	0.262
db2	252	7	1030000	1140000	6508104249353465056	1	GRPBY	-0.308	0.262
db2	252	7	1030000	1140000	6508104249353465056	2	HSJOIN	-1.728	0.159
db2	252	7	1030000	1140000	6508104249353465056	3	HSJOIN	92.692	1
db2	252	7	1030000	1140000	6508104249353465056	4	TBSCAN	 	 
db2	252	7	1030000	1140000	6508104249353465056	5	TBSCAN	93.37	1
db2	252	7	1030000	1140000	6508104249353465056	6	HSJOIN	92.749	1
db2	252	7	1030000	1140000	6508104249353465056	7	TBSCAN	93.37	1
db2	252	7	1030000	1140000	6508104249353465056	8	TBSCAN	 	 
db2	252	7	1220000	1300000	6508104249353465056	0	RETURN	0.242	0.07
db2	252	7	1220000	1300000	6508104249353465056	1	GRPBY	0.242	0.07
