DBMS	OPNAME	TOTALUSED
db2	TBSCAN	10726
db2	HSJOIN	6308
db2	GRPBY	2692
db2	RETURN	2671
db2	SORT	1791
db2	IXSCAN	298
db2	FILTER	247
db2	MSJOIN	247
db2	FETCH	42
db2	NLJOIN	7
db2	IXAND	1
db2	RIDSCN	1
mysql	ALL:Full Table Scan with Join	1144
mysql	ALL:Full Table Scan	528
mysql	eq_ref	85
oracle	HASH JOIN	3345
oracle	SELECT STATEMENT	1341
oracle	HASH	613
oracle	SORT	329
oracle	VIEW:VW_GBC_13	80
oracle	MERGE JOIN	61
oracle	VIEW:VW_GBF_13	31
oracle	VIEW:VW_GBC_9	12
oracle	VIEW:VW_GBF_9	8
oracle	VIEW:VW_GBF_5	4
oracle	NESTED LOOPS	1
pgsql	Seq Scan	14072
pgsql	Hash	9850
pgsql	Hash Join	9850
pgsql	Sort	1592
pgsql	Merge Join	317
pgsql	HashAggregate	67
pgsql	Index Only Scan using ft_ht4_pkey	30
pgsql	Index Only Scan using ft_ht3_pkey	29
pgsql	Index Scan using ft_ht2_pkey	25
pgsql	Index Scan using ft_ht3_pkey	19
pgsql	Index Only Scan using ft_ht2_pkey	17
pgsql	Nested Loop	16
pgsql	Index Scan using ft_ht4_pkey	12
