DBMS	RUNID	QUERYNUM	UPPER_CARD	LOWER_CARD	UPPER_GEN	LOWER_GEN	UPPER_PLAN	LOWER_PLAN	UPPER_CQT	LOWER_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
mysql	231	3	30600	30300	2	2	1906399448387965224	1906399448387965224	174560	173305	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	7	30300	30000	2	2	-6186413629565362040	401476671263824224	237240	180655	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	16	30000	29700	2	2	-1310052009870934912	2326387048205678464	354125	365385	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	18	30000	29700	2	2	-865264884702689664	2326387046418500908	199210	209125	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	21	30600	30300	2	2	7305472381883848962	7305472380096671406	63455	76535	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	43	30000	29700	2	2	1906399444813610112	252134201865874816	155380	153255	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	53	30600	30300	2	2	1906399448387965224	252134201865874816	158725	131950	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	67	30900	30600	2	2	4040267411315025052	2326387048205678464	284770	190410	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	68	30300	30000	2	2	4040267411315025052	4902031997436851168	233415	225410	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	68	30900	30600	2	2	4040267411315025052	4902031997436851168	239860	236125	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	83	30300	30000	2	2	252134203653052372	5157666497883589532	111665	109815	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	91	31200	30900	2	2	7305472381883848962	7305472380096671406	77220	79240	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	96	30600	30300	2	2	3652743722546626088	-1310052009870934912	286730	184180	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	231	97	29100	28800	2	2	4040267413102202608	-1310052009870934912	229005	169815	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	0	30300	30000	3	3	701043680312423648	701043674950890980	215085	182695	ALL:Full Table Scan with Join,ALL:Full Table Scan,eq_ref	ALL:Full Table Scan with Join,ALL:Full Table Scan,eq_ref
mysql	897	1	30300	30000	3	3	5459625528133052328	7080145248676199764	124525	100665	ALL:Full Table Scan with Join,ALL:Full Table Scan,eq_ref	ALL:Full Table Scan with Join,ALL:Full Table Scan,eq_ref
mysql	897	14	30300	30000	2	2	789000361819400744	401476665902291556	216430	165350	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	19	30300	30000	2	2	4040267411315025052	4902031997436851168	221915	222260	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	20	30000	29700	2	2	252134201865874816	1906399448387965224	214280	188025	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	31	29100	28800	2	2	789000358245045632	-1310052009870934912	161380	149775	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	38	30300	30000	2	2	1906399448387965224	252134201865874816	218790	200690	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	81	30300	30000	2	2	4040267411315025052	2326387048205678464	247025	245670	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	92	30600	30300	2	2	1906399448387965224	1906399444813610112	184860	185275	ALL:Full Table Scan with Join,ALL:Full Table Scan	ALL:Full Table Scan with Join,ALL:Full Table Scan
mysql	897	99	29100	28800	3	3	8291052553049041520	-5930660997695036956	139235	76575	ALL:Full Table Scan with Join,ALL:Full Table Scan,eq_ref	ALL:Full Table Scan with Join,ALL:Full Table Scan,eq_ref
db2	229	3	1540000	1530000	4	4	-3432427333900171296	-3686099647500392224	1005	980	GRPBY,HSJOIN,RETURN,TBSCAN	GRPBY,HSJOIN,RETURN,TBSCAN
db2	229	3	1590000	1580000	4	4	5360276885798122976	-3432427333900171296	1030	1020	GRPBY,HSJOIN,RETURN,TBSCAN	GRPBY,HSJOIN,RETURN,TBSCAN
