DBMS	RUNID	QUERYNUM	UPPER_GEN	LOWER_GEN	UPPER_CARD	LOWER_CARD	NEAREST_CARD	UPPER_CQT	UPPER_EP_CQT	LOWER_CQT	NEAREST_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	229	6	8	5	610000	600000	400000	1165	1286	1280	1160	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	6	8	5	390000	380000	110000	970	1138.5	1130	900	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	27	8	5	590000	580000	260000	620	683.3	675	410	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1980000	1970000	1910000	3280	5018.3	4980	4750	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1900000	1890000	1830000	3075	4627.5	4585	4330	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1820000	1810000	1770000	2855	4247.5	4215	4085	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1760000	1750000	1730000	2705	3990	3950	3870	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1720000	1710000	1570000	2600	3832.1	3790	3200	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1540000	1530000	1520000	2200	3095	3070	3045	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1510000	1500000	1480000	2140	2997.5	2965	2900	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1490000	1480000	1470000	2090	2940	2900	2860	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1460000	1450000	1360000	2025	2802.2	2770	2480	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1350000	1340000	1300000	1805	2447.5	2420	2310	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1310000	1300000	1290000	1720	2355	2310	2265	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	29	8	5	1240000	1230000	1130000	1590	1888.5	1855	1520	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	66	8	5	500000	490000	360000	1080	1447.3	1430	1205	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	84	8	5	820000	810000	770000	1290	1091.3	1075	1010	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	85	8	5	1990000	1980000	1780000	2965	3590	3550	2750	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	229	85	8	5	1790000	1780000	250000	2315	2767.1	2750	140	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	5	8	5	1660000	1650000	250000	2045	2385.9	2370	145	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	8	8	5	1980000	1970000	1910000	2350	4298.3	4260	4030	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	8	8	5	1900000	1890000	1830000	2250	4240	4160	3680	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	8	8	5	1820000	1810000	1770000	2130	3645	3610	3470	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	8	8	5	1760000	1750000	1730000	2030	3412.5	3375	3300	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	8	8	5	1720000	1710000	1570000	1970	3253.6	3220	2750	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	35	8	6	460000	450000	440000	590	1310	1300	1290	FILTER,GRPBY,IXSCAN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,SORT,TBSCAN
db2	439	58	8	5	1950000	1940000	1930000	2170	2510	2480	2450	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1980000	1970000	1950000	2435	2462.5	2455	2440	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1960000	1950000	1920000	2505	2450	2440	2410	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
