##cardinality	generation	time
#     10000	    6		?
    640000	    6	      460
    650000	    6	      650
    720000	    6	      770
    730000	    6	      555
    740000	    6	      790
    760000	    6	      820
    770000	    6	      610
    780000	    6	      610
    790000	    6	      860
    850000	    6	      970
    860000	    6	      710
    870000	    6	     1000
    880000	    6	      730
    890000	    6	     1040
    900000	    6	     1060
    910000	    6	      780
    920000	    6	     1090
    940000	    6	     1125
    950000	    6	      820
    960000	    6	     1160
    980000	    6	     1200
    990000	    6	      880
   1000000	    6	     1250
   1020000	    6	     1280
   1030000	    6	      940
   1040000	    6	     1320
   1090000	    6	     1430
   1100000	    6	     1045
   1110000	    6	     1470
   1450000	    6	     2360
   1460000	    6	     1700
   1470000	    6	     2410
   1480000	    6	     2450
   1490000	    6	     1730
   1500000	    6	     2520
   1510000	    6	     1790
   1520000	    6	     2580
   1530000	    6	     2610
   1540000	    6	     1870
   1560000	    6	     1910
   1570000	    6	     2750
   1710000	    6	     3240
   1720000	    6	     2320
   1730000	    6	     3340
   1750000	    6	     3390
   1760000	    6	     2400
   1770000	    6	     3480
   1810000	    6	     3640
   1820000	    6	     2560
   1830000	    6	     3725
   1890000	    6	     3975
   1900000	   11	     2110
   1910000	    6	     4055
   1970000	    6	     4335
   1980000	   11	     2230
   1990000	   11	     2260
   2000000	    6	     4460
