#Lower-Higher/Higher 		Number of Queries	Count	Cumulative percentage
0.1	-1	1382	1382	25.24
1	0	1332	2714	49.57
10	1	810	3524	64.37
20	1.301029996	596	4120	75.25
30	1.477121255	366	4486	81.94
40	1.602059991	231	4717	86.16
50	1.698970004	186	4903	89.55
60	1.77815125	97	5000	91.32
70	1.84509804	204	5204	95.05
100	2	203	5407	98.76
250	2.397940009	37	5444	99.43
500	2.698970004	12	5456	99.65
1000	3	2	5458	99.69
2500	3.397940009	0	5458	99.69
5000	3.698970004	0	5458	99.69
10000	4	3	5461	99.74
20000	4.301029996	0	5461	99.74
30000	4.477121255	4	5465	99.82
40000	4.602059991	9	5474	99.98
71000	4.851258349	1	5475	100.00
72000	4.857332496	0	5475	100.00
