DBMS	OPNAME	TOTALUSED
db2	TBSCAN	5785
db2	HSJOIN	3326
db2	GRPBY	1578
db2	RETURN	1447
db2	SORT	1125
db2	IXSCAN	298
db2	FILTER	178
db2	MSJOIN	178
db2	FETCH	42
db2	NLJOIN	7
db2	IXAND	1
db2	RIDSCN	1
mysql	ALL:Full Table Scan with Join	535
mysql	ALL:Full Table Scan	254
mysql	eq_ref	85
oracle	HASH JOIN	1797
oracle	SELECT STATEMENT	719
oracle	HASH	364
oracle	SORT	165
oracle	VIEW:VW_GBC_13	47
oracle	MERGE JOIN	43
oracle	VIEW:VW_GBF_13	19
oracle	VIEW:VW_GBC_9	6
oracle	VIEW:VW_GBF_5	2
oracle	VIEW:VW_GBF_9	2
oracle	NESTED LOOPS	1
pgsql	Seq Scan	5155
pgsql	Hash	3599
pgsql	Hash Join	3599
pgsql	Sort	819
pgsql	Merge Join	249
pgsql	HashAggregate	37
pgsql	Index Only Scan using ft_ht4_pkey	30
pgsql	Index Only Scan using ft_ht3_pkey	29
pgsql	Index Scan using ft_ht2_pkey	25
pgsql	Index Scan using ft_ht3_pkey	19
pgsql	Index Only Scan using ft_ht2_pkey	17
pgsql	Nested Loop	16
pgsql	Index Scan using ft_ht4_pkey	12
