*readMe
- [LOW_CARD, HIGH_CARD]: a range with the unique plan
- CURR_CARD: a cardinality in a range 

DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
db2	252	7	50000	200000	50000	-7734868676949578016	RETURN	0	23079
db2	252	7	50000	200000	60000	-7734868676949578016	RETURN	0	23304
db2	252	7	50000	200000	70000	-7734868676949578016	RETURN	0	23516
db2	252	7	50000	200000	80000	-7734868676949578016	RETURN	0	23741
db2	252	7	50000	200000	90000	-7734868676949578016	RETURN	0	23957
db2	252	7	50000	200000	100000	-7734868676949578016	RETURN	0	24168
db2	252	7	50000	200000	110000	-7734868676949578016	RETURN	0	24392
db2	252	7	50000	200000	120000	-7734868676949578016	RETURN	0	24604
db2	252	7	50000	200000	130000	-7734868676949578016	RETURN	0	24816
db2	252	7	50000	200000	140000	-7734868676949578016	RETURN	0	25041
db2	252	7	50000	200000	150000	-7734868676949578016	RETURN	0	25254
db2	252	7	50000	200000	160000	-7734868676949578016	RETURN	0	25479
db2	252	7	50000	200000	170000	-7734868676949578016	RETURN	0	25688
db2	252	7	50000	200000	180000	-7734868676949578016	RETURN	0	25900
db2	252	7	50000	200000	190000	-7734868676949578016	RETURN	0	26126
db2	252	7	50000	200000	200000	-7734868676949578016	RETURN	0	26337
db2	252	7	50000	200000	50000	-7734868676949578016	GRPBY	1	23079
db2	252	7	50000	200000	60000	-7734868676949578016	GRPBY	1	23304
db2	252	7	50000	200000	70000	-7734868676949578016	GRPBY	1	23516
db2	252	7	50000	200000	80000	-7734868676949578016	GRPBY	1	23741
db2	252	7	50000	200000	90000	-7734868676949578016	GRPBY	1	23957
db2	252	7	50000	200000	100000	-7734868676949578016	GRPBY	1	24168
db2	252	7	50000	200000	110000	-7734868676949578016	GRPBY	1	24392
db2	252	7	50000	200000	120000	-7734868676949578016	GRPBY	1	24604
db2	252	7	50000	200000	130000	-7734868676949578016	GRPBY	1	24816
db2	252	7	50000	200000	140000	-7734868676949578016	GRPBY	1	25041
db2	252	7	50000	200000	150000	-7734868676949578016	GRPBY	1	25254
db2	252	7	50000	200000	160000	-7734868676949578016	GRPBY	1	25479
db2	252	7	50000	200000	170000	-7734868676949578016	GRPBY	1	25688
db2	252	7	50000	200000	180000	-7734868676949578016	GRPBY	1	25900
db2	252	7	50000	200000	190000	-7734868676949578016	GRPBY	1	26126
db2	252	7	50000	200000	200000	-7734868676949578016	GRPBY	1	26337
db2	252	7	50000	200000	50000	-7734868676949578016	HSJOIN	2	22991
db2	252	7	50000	200000	60000	-7734868676949578016	HSJOIN	2	23216
db2	252	7	50000	200000	70000	-7734868676949578016	HSJOIN	2	23429
db2	252	7	50000	200000	80000	-7734868676949578016	HSJOIN	2	23654
db2	252	7	50000	200000	90000	-7734868676949578016	HSJOIN	2	23867
db2	252	7	50000	200000	100000	-7734868676949578016	HSJOIN	2	24079
db2	252	7	50000	200000	110000	-7734868676949578016	HSJOIN	2	24304
db2	252	7	50000	200000	120000	-7734868676949578016	HSJOIN	2	24516
db2	252	7	50000	200000	130000	-7734868676949578016	HSJOIN	2	24727
db2	252	7	50000	200000	140000	-7734868676949578016	HSJOIN	2	24953
db2	252	7	50000	200000	150000	-7734868676949578016	HSJOIN	2	25165
db2	252	7	50000	200000	160000	-7734868676949578016	HSJOIN	2	25390
db2	252	7	50000	200000	170000	-7734868676949578016	HSJOIN	2	25601
db2	252	7	50000	200000	180000	-7734868676949578016	HSJOIN	2	25813
db2	252	7	50000	200000	190000	-7734868676949578016	HSJOIN	2	26038
db2	252	7	50000	200000	200000	-7734868676949578016	HSJOIN	2	26250
db2	252	7	50000	200000	50000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	60000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	70000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	80000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	90000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	100000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	110000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	120000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	130000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	140000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	150000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	160000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	170000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	180000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	190000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	200000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	50000	200000	50000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	60000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	70000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	50000	200000	80000	-7734868676949578016	TBSCAN	4	10717
